matrix_type,clique_size,nodes,sectors,subsectors,n_unique_sectors,same_sector_clique,same_subsector_clique,mean_internal_correlation,min_internal_correlation,max_internal_correlation
original,4,BRAP4|CSNA3|GGBR4|VALE3,Basic Materials|Basic Materials|Basic Materials|Basic Materials,Mining|Steel and Metallurgy|Steel and Metallurgy|Mining,1,True,False,0.7619686227749338,0.7181412729024198,0.9133367125081089
original,4,BRAP4|FESA4|GGBR4|GOAU4,Basic Materials|Basic Materials|Basic Materials|Basic Materials,Mining|Steel and Metallurgy|Steel and Metallurgy|Steel and Metallurgy,1,True,False,0.6356769538568242,0.4710465394883927,0.9508405471575873
original,4,BRAP4|GGBR4|PETR3|VALE3,Basic Materials|Basic Materials|Oil Gas and Biofuels|Basic Materials,Mining|Steel and Metallurgy|Oil Gas and Biofuels|Mining,2,False,False,0.6835075715152721,0.55646531441058,0.9133367125081089
original,4,BRKM3|BRKM5|GOAU3|GOAU4,Basic Materials|Basic Materials|Basic Materials|Basic Materials,Chemicals|Chemicals|Steel and Metallurgy|Steel and Metallurgy,1,True,False,0.5488631935988196,0.36588485863754217,0.8661445059896019
original,4,BRKM5|GGBR4|GOAU3|GOAU4,Basic Materials|Basic Materials|Basic Materials|Basic Materials,Chemicals|Steel and Metallurgy|Steel and Metallurgy|Steel and Metallurgy,1,True,False,0.69333756392362,0.47747056328347176,0.9508405471575873
original,4,BRKM5|GGBR4|GOAU4|KLBN4,Basic Materials|Basic Materials|Basic Materials|Basic Materials,Chemicals|Steel and Metallurgy|Steel and Metallurgy|Paper and Cellulose,1,True,False,0.5579830333799017,0.4027870512462465,0.9508405471575873
original,4,CCRO3|CYRE3|ETER3|RAPT4,Industrials|Real Estate|Industrials|Industrials,Transportation|Real Estate|Construction Materials|Transportation Equipment,2,False,False,0.4350344392189986,0.2810930997974253,0.5887913084879779
original,4,CMIG3|CMIG4|CPFE3|CPLE6,Utilities|Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility|Electric Utility,1,True,True,0.6521375400246083,0.5431085101989643,0.8455831236793538
original,4,CMIG3|CMIG4|CPLE6|SBSP3,Utilities|Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility|Water and Sanitation,1,True,False,0.6377605601064337,0.513528004658696,0.8455831236793538
original,4,CMIG3|CMIG4|SAPR4|SBSP3,Utilities|Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Water and Sanitation|Water and Sanitation,1,True,False,0.5493828168548899,0.4351961536189501,0.8455831236793538
