eigen_rank,eigenvalue,above_mp_lambda_max,symbol,company_name,sector,subsector,segment,loading,abs_loading,loading_rank
1,21.650461852002376,True,SAPR4,SANEPAR,Utilities,Water and Sanitation,Water and Sanitation,0.11478965550923279,0.11478965550923279,39
1,21.650461852002376,True,SBSP3,SABESP,Utilities,Water and Sanitation,Water and Sanitation,0.14929575945173273,0.14929575945173273,22
1,21.650461852002376,True,SCAR3,SAO CARLOS,Real Estate,Real Estate,Commercial Properties,0.100852897723059,0.100852897723059,44
1,21.650461852002376,True,SHUL4,SCHULZ,Industrials,Machinery and Equipment,Industrial Machinery,0.09090303213864216,0.09090303213864216,47
1,21.650461852002376,True,TELB3,TELEBRAS,Telecommunications,Telecommunications,Telecommunications,0.03693660155970099,0.03693660155970099,58
1,21.650461852002376,True,TELB4,TELEBRAS,Telecommunications,Telecommunications,Telecommunications,0.04404920293714944,0.04404920293714944,57
1,21.650461852002376,True,TRPL4,ISA CTEEP,Utilities,Electric Utility,Transmission,0.12148485062694596,0.12148485062694596,35
1,21.650461852002376,True,UNIP6,UNIPAR,Basic Materials,Chemicals,Chemicals,0.12490289544402822,0.12490289544402822,33
1,21.650461852002376,True,USIM3,USIMINAS,Basic Materials,Steel and Metallurgy,Steel,0.15353255378998618,0.15353255378998618,19
1,21.650461852002376,True,USIM5,USIMINAS,Basic Materials,Steel and Metallurgy,Steel,0.164766180829895,0.164766180829895,7
1,21.650461852002376,True,VALE3,VALE,Basic Materials,Mining,Minerals,0.1548483772031091,0.1548483772031091,17
2,3.09565032761159,True,ALPA4,ALPARGATAS,Consumer Cyclical,Apparel and Footwear,Footwear,0.1350569249738009,0.1350569249738009,21
2,3.09565032761159,True,BAZA3,BANCO DA AMAZONIA,Financials,Banks,Banks,-0.015213852124073876,0.015213852124073876,53
2,3.09565032761159,True,BBAS3,BANCO DO BRASIL,Financials,Banks,Banks,0.04886728192514542,0.04886728192514542,37
2,3.09565032761159,True,BBDC3,BRADESCO,Financials,Banks,Banks,0.04848966211584338,0.04848966211584338,38
