source,target,weight,distance,correlation,same_sector,same_subsector,matrix_type
ALPA4,GUAR3,1.0035512094937704,1.0035512094937704,0.4964424849617953,1,0,original
BAZA3,BBAS3,1.1805682155654986,1.1805682155654986,0.3031293441982473,1,1,original
BBAS3,ITSA4,0.7055151704351356,0.7055151704351356,0.7511241721429408,1,0,original
BBAS3,SCAR3,1.1176799670659223,1.1176799670659223,0.37539574560975936,0,0,original
BBDC3,BBDC4,0.33060275491425567,0.33060275491425567,0.9453509092215523,1,1,original
BBDC3,PSSA3,1.0396543948089343,1.0396543948089343,0.4595593696772342,1,0,original
BBDC4,ITSA4,0.5566978161239612,0.5566978161239612,0.8450437707614061,1,0,original
BBDC4,PETR3,0.8803403486572744,0.8803403486572744,0.6125004352629942,0,0,original
BEES3,ITSA4,1.1900823221941088,1.1900823221941088,0.2918520332005388,1,0,original
BOBR4,GOAU3,1.2135916380670375,1.2135916380670375,0.2635976680068824,0,0,original
BRAP3,BRAP4,0.5832205042313018,0.5832205042313018,0.829926921722093,1,1,original
BRAP4,VALE3,0.4163250832988354,0.4163250832988354,0.9133367125081089,1,1,original
BRAP4,FESA4,1.0228759163962775,1.0228759163962775,0.47686242982823773,1,0,original
BRKM3,BRKM5,0.7778288056794401,0.7778288056794401,0.6974911745276479,1,1,original
BRKM5,GOAU4,0.9873172281216551,0.9873172281216551,0.5126023455270858,1,0,original
CCRO3,CYRE3,0.9316794219807071,0.9316794219807071,0.5659867273288478,0,0,original
CGAS5,RAPT4,1.1971569903207453,1.1971569903207453,0.2834075702630873,0,0,original
CMIG3,CMIG4,0.5557281283517079,0.5557281283517079,0.8455831236793538,1,1,original
CMIG4,CPLE6,0.7851709051547003,0.7851709051547003,0.6917533248492743,1,1,original
CMIG4,ELET6,0.8778424547659895,0.8778424547659895,0.6146963123052108,1,1,original
CMIG4,ITSA4,0.9297408045611215,0.9297408045611215,0.5677910181670193,0,0,original
COCE5,CPLE6,1.1377123886178377,1.1377123886178377,0.3528052603927469,1,1,original
CPFE3,CPLE6,0.8727807414693078,0.8727807414693078,0.6191268886601426,1,1,original
CPLE3,CPLE6,0.664150109734438,0.664150109734438,0.779452315869867,1,1,original
CPLE6,SBSP3,0.8961476395624629,0.8961476395624629,0.5984597040533131,1,0,original
CPLE6,TRPL4,0.9973455630162007,0.9973455630162007,0.5026509139659489,1,1,original
CSNA3,USIM5,0.660963853537378,0.660963853537378,0.7815633921585098,1,1,original
CSNA3,VALE3,0.7228681803464865,0.7228681803464865,0.7387307969212797,1,0,original
CTNM4,GRND3,1.1742309298656763,1.1742309298656763,0.3105908616733946,1,0,original
CYRE3,ITSA4,0.868116443858261,0.868116443858261,0.6231869199514434,0,0,original
CYRE3,LREN3,0.885041885521884,0.885041885521884,0.6083504304359342,0,0,original
CYRE3,RAPT4,0.9068723080037477,0.9068723080037477,0.5887913084879779,0,0,original
CYRE3,RENT3,0.909103430961285,0.909103430961285,0.5867654759072101,0,0,original
CYRE3,KEPL3,1.2473977362597566,1.2473977362597566,0.2219994437870174,0,0,original
ELET3,ELET6,0.3501194465134632,0.3501194465134632,0.9387081865865531,1,1,original
EMAE4,RAPT4,1.2368267076219561,1.2368267076219561,0.23512984765651623,0,0,original
EMBR3,GOAU4,1.0463561688529852,1.0463561688529852,0.4525693839516516,0,0,original
ETER3,RAPT4,1.159784567351079,1.159784567351079,0.3274498786671353,1,0,original
GGBR3,GGBR4,0.3803687479902482,0.3803687479902482,0.9276598077761655,1,1,original
GGBR3,MGEL4,1.241615076943645,1.241615076943645,0.22919600035311324,1,1,original
GGBR4,GOAU4,0.31355845656723325,0.31355845656723325,0.9508405471575873,1,1,original
GGBR4,KLBN4,1.0085890025138187,1.0085890025138187,0.4913741120040902,1,0,original
GOAU3,GOAU4,0.5174079512539368,0.5174079512539368,0.8661445059896019,1,1,original
GOAU4,USIM5,0.6804905297791812,0.6804905297791812,0.7684663194404247,1,1,original
GRND3,LREN3,1.0304735513933976,1.0304735513933976,0.46906212993933943,1,0,original
GUAR3,LREN3,0.9270767091083554,0.9270767091083554,0.5702643877144109,1,1,original
ITSA3,ITSA4,0.9482502263436654,0.9482502263436654,0.5504107541195936,1,1,original
PETR3,PETR4,0.22121355379393695,0.22121355379393695,0.9755322818089285,1,1,original
PETR3,VALE3,0.8929218360426583,0.8929218360426583,0.601345297359104,0,0,original
PETR3,UNIP6,1.0519554774258657,1.0519554774258657,0.4466948367568594,0,0,original
POMO4,RAPT4,0.9205969702417451,0.9205969702417451,0.5762506091908597,1,1,original
RAPT4,ROMI3,1.0820731101789667,1.0820731101789667,0.41455889211380875,1,0,original
RAPT4,SHUL4,1.1061982772983776,1.1061982772983776,0.38816268565105083,1,0,original
SAPR4,SBSP3,1.028522006990392,1.028522006990392,0.47107124056822813,1,1,original
SBSP3,TELB4,1.293939872739278,1.293939872739278,0.16285980286773055,0,0,original
TELB3,TELB4,0.7878612290603254,0.7878612290603254,0.6896373418717767,1,1,original
USIM3,USIM5,0.49460805656352164,0.49460805656352164,0.8776814351912281,1,1,original
