symbol,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality
GOAU4,0.21052631578947367,0.43045112781954886,0.33269790421454765,0.015269056080738204
BBDC4,0.19298245614035087,0.7568922305764411,0.45337174296253535,0.14098485029413696
RAPT4,0.19298245614035087,0.3508771929824561,0.3312618230352412,0.6713547104742106
CMIG4,0.19298245614035087,0.3226817042606516,0.31803639912127396,0.014695562012784618
CYRE3,0.12280701754385964,0.5162907268170426,0.40370354383973717,0.28202611457408105
GGBR4,0.07017543859649122,0.10338345864661654,0.28514772226902135,0.002507556209167274
ITSA4,0.05263157894736842,0.34523809523809523,0.3895426043528945,0.029436609371600798
TELB4,0.03508771929824561,0.03508771929824561,0.22130194135477183,0.025474921794374612
PETR3,0.03508771929824561,0.39473684210526316,0.38873070722514563,0.0329217787195944
LREN3,0.03508771929824561,0.06892230576441102,0.3029032834493634,0.07463982075905033
GUAR3,0.03508771929824561,0.03508771929824561,0.25430105233023104,0.18022538870899535
BRAP4,0.017543859649122806,0.0,0.2412137314022933,0.0004232597350765666
CGAS5,0.017543859649122806,0.0,0.23971627551861166,0.20447150814273599
BRKM5,0.017543859649122806,0.0,0.2542596015892137,0.0037412285265401696
CMIG3,0.017543859649122806,0.0,0.25446980661116864,0.003050246947983536
COCE5,0.017543859649122806,0.0,0.23664821410685705,0.004199527810506946
CPFE3,0.017543859649122806,0.0,0.25179459810289617,0.0032123884252353014
CCRO3,0.017543859649122806,0.0,0.3234277884616258,0.03300887599658501
BRKM3,0.017543859649122806,0.0,0.24620404545579064,0.004260430648465777
BBAS3,0.017543859649122806,0.0,0.3448762470801126,0.025846420954567222
BAZA3,0.017543859649122806,0.0,0.29993352129760625,0.04203011112334512
BEES3,0.017543859649122806,0.0,0.29834491085481923,0.042691383238306825
BOBR4,0.017543859649122806,0.0,0.2386454162246052,0.2077915707593248
BRAP3,0.017543859649122806,0.0,0.23479649976158423,0.0004983411252107026
BBDC3,0.017543859649122806,0.0,0.3533975911717244,0.02324214098697866
ALPA4,0.017543859649122806,0.0,0.2033906122638167,0.046865780437269286
EMBR3,0.017543859649122806,0.0,0.28508059748326026,0.07679718796484528
EMAE4,0.017543859649122806,0.0,0.2370205621517411,0.21288651840033973
ELET6,0.017543859649122806,0.0,0.2550615994809109,0.0030148384465669793
ELET3,0.017543859649122806,0.0,0.2545184813159951,0.0030473283995788086
CTNM4,0.017543859649122806,0.0,0.24100199913773063,0.2005242644596785
CSNA3,0.017543859649122806,0.0,0.27328296621353676,0.002636613658678228
CPLE6,0.017543859649122806,0.0,0.2573459990820259,0.0028796844996143134
CPLE3,0.017543859649122806,0.0,0.2516690960178705,0.003220079619839896
GRND3,0.017543859649122806,0.0,0.2887774189765362,0.07345135371108427
GOAU3,0.017543859649122806,0.0,0.27384863515080815,0.002606116971534539
FESA4,0.017543859649122806,0.0,0.25278569713197896,0.003833752217603421
ITSA3,0.017543859649122806,0.0,0.31610336511350806,0.03567741420052834
KLBN4,0.017543859649122806,0.0,0.2521401507225911,0.0038746167413214357
KEPL3,0.017543859649122806,0.0,0.23538552460622594,0.2180844006519415
GGBR3,0.017543859649122806,0.0,0.27748593046170833,0.0024129910845079212
ETER3,0.017543859649122806,0.0,0.2423486572519163,0.19643485523667242
PETR4,0.017543859649122806,0.0,0.3336088520013773,0.029494204917833177
MGEL4,0.017543859649122806,0.0,0.23620294120105814,0.21547678919639993
PSSA3,0.017543859649122806,0.0,0.3145034022366743,0.03627687650051716
POMO4,0.017543859649122806,0.0,0.29119810768394605,0.07130651816455882
ROMI3,0.017543859649122806,0.0,0.24496772455098834,0.18861026407069686
SAPR4,0.017543859649122806,0.0,0.24266108155551885,0.003792899673495244
SBSP3,0.017543859649122806,0.0,0.2498902892947709,0.003329921675047008
RENT3,0.017543859649122806,0.0,0.29414009143254066,0.06874731755107302
SCAR3,0.017543859649122806,0.0,0.27428941938138424,0.008389438403122553
SHUL4,0.017543859649122806,0.0,0.24359035149361857,0.19270425726283769
TELB3,0.017543859649122806,0.0,0.1964488025487559,0.003847506904626673
TRPL4,0.017543859649122806,0.0,0.24434302011904513,0.0036827383312977337
UNIP6,0.017543859649122806,0.0,0.2496897454439529,0.004031656161069014
USIM3,0.017543859649122806,0.0,0.2694090004116146,0.002848911020077836
USIM5,0.017543859649122806,0.0,0.274613610564983,0.0025650749904656913
VALE3,0.017543859649122806,0.0,0.24104782726546592,0.00042515046806364314
