matrix_type,clique_size,nodes,sectors,subsectors,n_unique_sectors,same_sector_clique,same_subsector_clique,mean_internal_correlation,min_internal_correlation,max_internal_correlation
group_mode,3,BAZA3|BBDC3|BEES3,Financials|Financials|Financials,Banks|Banks|Banks,1,True,True,0.0391175171274365,0.0147971489020824,0.0653678811001738
group_mode,3,BAZA3|BBDC3|PETR4,Financials|Financials|Oil Gas and Biofuels,Banks|Banks|Oil Gas and Biofuels,2,False,False,0.0684029929008576,0.0427753264816425,0.0970657711207565
group_mode,3,BAZA3|BBDC4|BEES3,Financials|Financials|Financials,Banks|Banks|Banks,1,True,True,0.04047181200074497,0.0147971489020824,0.0678534173625777
group_mode,3,BAZA3|BBDC4|PETR4,Financials|Financials|Oil Gas and Biofuels,Banks|Banks|Oil Gas and Biofuels,2,False,False,0.07032219548692874,0.0427753264816425,0.100337842616566
group_mode,3,BBAS3|BBDC3|BBDC4,Financials|Financials|Financials,Banks|Banks|Banks,1,True,True,0.17515653613021642,0.1651373430125897,0.1904327135035482
group_mode,3,BBAS3|BBDC3|ITSA4,Financials|Financials|Financials,Banks|Banks|Financial Services,1,True,False,0.1646734499278627,0.1556006095290699,0.1732823972419285
group_mode,3,BBAS3|BBDC3|PETR3,Financials|Financials|Oil Gas and Biofuels,Banks|Banks|Oil Gas and Biofuels,2,False,False,0.11634875288247452,0.0856592781491894,0.1651373430125897
group_mode,3,BBAS3|BBDC4|ITSA4,Financials|Financials|Financials,Banks|Banks|Financial Services,1,True,False,0.1679485253556455,0.1556006095290699,0.1783454146633552
group_mode,3,BBAS3|BBDC4|PETR3,Financials|Financials|Oil Gas and Biofuels,Banks|Banks|Oil Gas and Biofuels,2,False,False,0.11907285071279296,0.0856592781491894,0.1698995518745114
group_mode,3,BBDC3|BBDC4|BEES3,Financials|Financials|Financials,Banks|Banks|Banks,1,True,True,0.08879503487372543,0.0371875213800533,0.1904327135035482
group_mode,3,BBDC3|BBDC4|CCRO3,Financials|Financials|Industrials,Banks|Banks|Transportation,2,False,False,0.1037992919150245,0.0595413877740364,0.1904327135035482
group_mode,3,BBDC3|BBDC4|ITSA3,Financials|Financials|Financials,Banks|Banks|Financial Services,1,True,False,0.1448549387148862,0.1200322256132468,0.1904327135035482
group_mode,3,BBDC3|BBDC4|ITSA4,Financials|Financials|Financials,Banks|Banks|Financial Services,1,True,False,0.18068684180294395,0.1732823972419285,0.1904327135035482
group_mode,3,BBDC3|BBDC4|PETR3,Financials|Financials|Oil Gas and Biofuels,Banks|Banks|Oil Gas and Biofuels,2,False,False,0.13011402436795694,0.0982496374856445,0.1904327135035482
group_mode,3,BBDC3|BBDC4|PETR4,Financials|Financials|Oil Gas and Biofuels,Banks|Banks|Oil Gas and Biofuels,2,False,False,0.1292787757469569,0.0970657711207565,0.1904327135035482
group_mode,3,BBDC3|BBDC4|PSSA3,Financials|Financials|Financials,Banks|Banks|Insurance,1,True,False,0.12048242088790435,0.0833759398856716,0.1904327135035482
group_mode,3,BBDC3|BBDC4|SCAR3,Financials|Financials|Real Estate,Banks|Banks|Real Estate,2,False,False,0.08346183474156389,0.029282696385451,0.1904327135035482
group_mode,3,BBDC3|CCRO3|PSSA3,Financials|Industrials|Financials,Banks|Transportation|Insurance,2,False,False,0.06320059900979792,0.0466844693696858,0.0833759398856716
group_mode,3,BBDC3|CCRO3|SCAR3,Financials|Industrials|Real Estate,Banks|Transportation|Real Estate,3,False,False,0.03254063393390893,0.0087978176422394,0.0595413877740364
group_mode,3,BBDC3|ITSA3|ITSA4,Financials|Financials|Financials,Banks|Financial Services|Financial Services,1,True,False,0.13431379350102732,0.1096267576479067,0.1732823972419285
group_mode,3,BBDC3|ITSA3|PSSA3,Financials|Financials|Financials,Banks|Financial Services|Insurance,1,True,False,0.09075078779390437,0.0688441978827947,0.1200322256132468
