symbol,n_obs,mean,std,min,max,skew,abs_mean
BBDC4,6886,0.0004480137980582622,0.023223143963644336,-0.216807732865124,0.1998888185062062,-0.02987611684212657,0.016534621539425066
SBSP3,6886,0.0005103233614335209,0.026255044108196172,-0.4277784070721557,0.1918910078101054,-0.8438509753206996,0.018373994937469735
CMIG4,6885,0.00046392658483150227,0.02659231051936737,-0.2779993717353635,0.2639436277860472,-0.14674685021211198,0.0188459608952839
PETR4,6885,0.0005590191287645097,0.027376448892787886,-0.3523666109656791,0.20067069546215133,-0.5805882461215673,0.01886144421944603
GOAU4,6885,0.0005114013110992843,0.028002083766209218,-0.23918441868849782,0.1876266090236477,-0.14758031973283314,0.019999043141112116
ITSA4,6885,0.0006330684053988733,0.021607945799461147,-0.1445812288111079,0.22431933040322183,0.28878253789114067,0.015479663778997847
PETR3,6885,0.0005804909412392208,0.02802170326379712,-0.3520543563684553,0.20502371785224605,-0.4801890175374255,0.019410872514156168
BBDC3,6885,0.0005031546602485801,0.022267512938314412,-0.17450409168880476,0.15464099609106507,0.08618098058730378,0.015820286836260033
CSNA3,6882,0.000526332739054808,0.03231276838283884,-0.2915900888489862,0.19627560612792938,0.03741706315351301,0.0233574208815278
BBAS3,6880,0.0005858364018053723,0.026772982619550148,-0.2378914079487653,0.18825629231376917,-0.12577718684407246,0.01908116432597918
CMIG3,6880,0.0005501458183820174,0.027104037503049797,-0.279821888332648,0.19377147300187936,-0.3040293342199858,0.018966136111729516
UNIP6,6879,0.0009097343360571326,0.025806175438758554,-0.24323030988094718,0.1823215567939548,0.2086728832090936,0.01739353590586865
VALE3,6857,0.0007475065377934435,0.02559645649732599,-0.28135012834429896,0.2984929885559966,0.06964304531760726,0.017972509406340396
TELB4,6852,-0.00020346432308741987,0.12799198711263085,-0.8754687373539003,1.3862943611198906,0.6968010975927494,0.05379204410676976
CPLE6,6852,0.00045613645224716663,0.026139234114555137,-0.18225796581113457,0.3432519236065916,0.3552929541270242,0.0184115916182985
ELET3,6852,0.00026679996841342315,0.03138499890249637,-0.2353397902411971,0.4007592170707519,0.5032757600004055,0.02213305905152635
ELET6,6852,0.0003579977830358344,0.02961449446590091,-0.2241634392149554,0.3254224004346279,0.43149181450968327,0.02089844732744618
CPLE3,6787,0.000519513988757151,0.025169342790153,-0.20972053098206905,0.21278076427866321,-0.16204587213485813,0.017286527706507633
RAPT4,6767,0.000501850443811924,0.029170180898938854,-0.24063670876172716,0.33647223662121295,0.07154165145270298,0.02016123998771107
COCE5,6725,0.0004266786102601525,0.022560844567704227,-0.3886579897917833,0.3184537311185345,-0.9306150831437275,0.014064667569918666
ETER3,6704,0.00023973300130519196,0.029540240385602493,-0.4257262932479864,0.5437697794853448,0.728535154329643,0.01764607524975803
POMO4,6697,0.0006316193021955733,0.025715747921142645,-0.2887684386640019,0.1858058808765657,-0.04238823621993232,0.01814464118199557
EMBR3,6692,0.00038158301183769256,0.03852438618929227,-2.0583881324820035,0.30603121111997733,-22.54175365365435,0.019791383276786288
USIM5,6669,0.00041025126316003737,0.0328843916535201,-0.26854273224108316,0.30089230418858737,0.14161144352561916,0.02388098365651412
FESA4,6431,0.0008946679506956302,0.026328367537784697,-0.4054651081081646,0.3655050233870041,0.18682368434605895,0.01741689561808058
BRAP4,6291,0.0004852509407600429,0.0265145922190864,-0.28084833287321587,0.16764381163667652,-0.20562354270649966,0.019054554605860082
ALPA4,6282,0.0007878280041931868,0.026262858268285675,-0.23399356733827492,0.254025396747644,-0.16508091813354195,0.017331497540636415
TRPL4,6274,0.0008193873481135835,0.024327397642522685,-0.27522861138049426,0.3073180469686396,0.2841037562941085,0.016345397981800475
