date,ALPA4,BAZA3,BBAS3,BBDC3,BBDC4,BEES3,BOBR4,BRAP3,BRAP4,BRKM3,BRKM5,CCRO3,CGAS5,CMIG3,CMIG4,COCE5,CPFE3,CPLE3,CPLE6,CSNA3,CTNM4,CYRE3,ELET3,ELET6,EMAE4,EMBR3,ETER3,FESA4,GGBR3,GGBR4,GOAU3,GOAU4,GRND3,GUAR3,ITSA3,ITSA4,KEPL3,KLBN4,LREN3,MGEL4,PETR3,PETR4,POMO4,PSSA3,RAPT4,RENT3,ROMI3,SAPR4,SBSP3,SCAR3,SHUL4,TELB3,TELB4,TRPL4,UNIP6,USIM3,USIM5,VALE3
1998-03-17,-0.006571765163234655,,0.04281999718292817,0.018868484304382704,0.02257432203853918,,0.040821994520255256,,,,,,,0.06113082278902571,0.07009060847220894,0.04348511193973903,,0.007905179507113225,0.0,-0.02135312447056892,-0.013468217050867093,,0.018859497923243485,-0.005323881252749851,,,,,,,,0.002622483324424829,,,,0.040821994520255256,,,,,0.018294176539203566,0.0072464085207673,,,-0.03846628082779602,,0.005515180688110188,,-0.01043657704224299,,,0.016393809775676615,0.013333530869465537,,0.09237332013101529,,,0.02613214027684796
1998-03-18,-0.0022002209096023684,0.1257693872890333,-0.00600602406021189,-0.009389740349838971,-0.008968669982760386,,0.03768106696768836,,,,,,,0.012072581234269242,0.009067534791593279,-0.04348511193973903,,-0.015873349156290018,-0.0028612322810323554,0.02107139464760399,-0.0003729508934715575,,-0.013106845433793701,0.0017777782459991176,,,,,,,0.0,0.04652001563489283,,0.028987536873252395,,0.0,,,,0.006191970247921064,-0.004576667027411829,-0.00542987759436947,0.01652930195121094,,-0.04000533461369926,,,,-0.024868066578013437,,,0.016049378729712682,0.005284028146605113,,0.0,,,0.021590632592367487
1998-03-19,0.045217605993293386,,0.010785005676562709,0.009389740349838971,0.008968669982760386,,-0.006182399908317482,,,,,,,0.012393470920137206,0.017544309650909473,-0.01342302033214049,,0.0,0.0028612322810323554,0.00028172982296492677,0.0003729508934715575,,0.04120433059832118,0.03490755821080205,,,,,,,0.06636874181318264,-0.04652001563489283,,0.0,,0.0,,,,-0.02500130220541741,0.031160796176181116,0.0,,,0.020202707317519497,,,,0.0035906681307287247,,,-0.024212689368873885,-0.013262793878410228,,0.05715841383994835,,,
1998-03-20,0.05169321440887753,0.035718082602079204,0.007125920889967441,0.018519047767237673,0.05218575317057031,,-0.01562531790308097,,,,,,,0.00625508815793574,0.0,-0.009049835519917893,,0.0,-0.005730674708985195,0.0,-0.01709443335929972,,0.012762251613851472,0.015319448533513302,,,,,,,-0.048935382844808695,0.023530497410193973,,0.02817087696669618,0.01117330059812538,-0.010050335853501569,,,,0.06730368189610658,-0.0403774512811052,0.012624153228396495,0.010869672236903494,,0.05826890812397578,,,,-0.03278982282299103,,,-0.008230499136515412,0.007978765731805115,,-0.028170876966695957,,,0.02113431207397387
1998-03-23,0.0,,0.06305813596713694,0.03603993648319692,0.020965128465044808,,-0.04016604172533467,,,,,,,-0.006487511168860038,-0.0001739281681052418,0.020248160829947404,,0.0384511863742526,0.0,-0.008486613877318527,0.0,,0.04082199452025481,0.029952322283351318,,,,,,,-0.0003389256090740034,0.06308397542657684,,0.0,-0.022472855852058604,0.0,,,,0.05748709091768167,-0.013986241974739855,-0.0035906681307286137,-0.02734342017571123,,0.03704127168034921,,0.024692612590371477,,-0.022472855852058604,,,0.007410490890484844,0.009884759232541729,,-0.05884050002293373,,,0.0071983641002594245
1998-03-24,-0.00039992002132693827,-0.21440987134545503,-0.00557104504945527,0.02620237239402401,0.0,,-0.016529301951210496,,,,,,,-0.007466203605005051,-0.01737038148280423,-0.020248160829947404,,-0.004629637898741934,-0.022081083075255303,-0.005698021114637797,0.01709443335929972,,-0.04445176257083361,-0.04167618437316656,,,0.0,-0.00047607713348618574,,,0.0,-0.03555930203648683,,,0.011299555253933224,-0.020408871631207193,,,,-0.016901810802603223,-0.004705891037412702,-0.010850016024065712,0.054011667257872986,,-0.05608946665104364,,,,0.0,,,-0.007410490890484844,-0.01054723027366311,,-0.030771658666753687,,,-0.018670765262496336
1998-03-25,0.01980262729617932,0.0001086897452295954,-0.005602255548669888,0.0,-0.020965128465044808,,0.0,,,,,,,-0.011778699192612763,0.008810629682154847,0.0,,-0.01010502185819473,0.0017610805842976363,-0.014388737452099676,0.0,,-0.03139685406067194,-0.034957041647749376,,,0.03278982282299084,0.0,,,,-0.024505978423900565,,0.002773926882725375,,0.010256500167189264,,,,-0.022989518224698746,-0.009708814126960785,-0.011090686694158247,-0.005277057100844029,,-0.0800427076735366,,,,-0.0037950709685514727,,-0.07410797215372211,-0.008298802814695083,-0.019405092009688207,,0.030771658666753687,,,0.0
1998-03-26,0.0,0.0,0.011173300598125158,-0.008658062743114647,0.0,,0.03278982282299081,,,,,,,-0.0167267938053135,-0.05388205322975048,0.0,,0.023167059281534286,-0.002936859673309533,0.005780362915499548,-6.779890846297931e-05,,0.01304771539247529,0.008810629682155069,,,-3.333277779007937e-05,-0.04879016416943216,,,-0.03448617607116922,-0.014714734729380785,,-0.002773926882725375,,0.010152371464017929,,,,-0.005830920310793242,-0.004889985294191823,0.011053921312437376,,,0.040821994520255256,,,,-0.011472401162236912,,,0.0246926125903717,0.02006756305080959,,0.0,,,
1998-03-27,-0.01980262729617932,,0.021978906718775337,0.008658062743114647,0.0,,0.023905520853554352,,,,,,,-0.03681397312271639,-0.007620146528043326,-0.027651531330510126,,0.030077455237278006,-0.00530818114572712,-0.014514042884254064,,,-0.009302392662313697,0.008733679968754515,,,-0.02020270731751947,0.0,,,,-0.028641575963384014,,0.027398974188114655,0.01117330059812538,0.010050335853501569,,,,0.0,0.019418085857101697,0.007362805473793699,-0.04879016416943216,,0.0,,,,0.015267472130788384,,-0.07837742835447514,-0.03727139479723185,-0.011992149045263911,,-0.030771658666753687,,,-0.01902600586776204
1998-03-30,0.01980262729617932,-0.0001086897452295954,-0.016438726343159793,-0.008658062743114647,-0.005097717071668784,,-0.007905179507113003,,,,,,,-0.000250031255209171,0.0018639334380626815,-0.0429660358834435,,-0.014925650216675468,-0.024544782003954158,-0.014727806710243652,-0.03039140857624556,,-0.018868484304382704,-0.022868190903659436,,,,0.0,,,,-0.007290433262679308,,-2.220446049250313e-16,0.0,0.0,,,,-0.005865119452398093,-0.019418085857101697,-0.029631797606371135,-5.555709882232307e-05,,-0.020202707317519497,,,,-0.015267472130788384,,,-0.012739025777429802,-0.014855100990924353,,-0.03174869831458027,,,-0.02019470728551931
1998-03-31,-0.019602647293513353,0.0,0.05899834076195554,-0.017544309650909362,0.0008514261902175108,,0.015748356968139143,,,,,,,0.015138643748960012,0.027549951768230718,,,0.007490671729157405,-0.017732045158950105,-0.0002967799398545523,0.0,,0.005698021114637797,0.0,,,0.05299253014051028,,,,0.05129329438755059,0.05226842854575686,,,0.01104983618658495,-0.010050335853501569,,,,0.0,0.0,0.01862251209800181,5.555709882232307e-05,,0.0,,,,0.0038770897494413425,,,0.004264398786457679,0.018200704646846422,,-0.03278982282299081,0.06453852113757119,,0.003992021269537571
1998-04-01,-0.00019998000266596705,-0.021978906718775337,0.07522342123758763,0.0,0.0,,0.05915295120497843,,,,,,,0.010047872796280721,0.014388737452099454,0.0512932943875507,,0.0074349784875180625,-0.0006170935092463248,-0.008645157435806627,0.0,,0.0037807228399060477,0.007092228309491855,0.010810916104215806,,,,,,,-0.018692133012152556,,0.019635974516859056,-0.01104983618658495,0.0,,,,-0.005899722127188367,-0.019802627296179653,-0.003696861881326119,0.027398974188114433,,0.0,,,,0.007595311412795569,,,-0.017167803622365252,-0.016841085130806732,,0.0,-0.19237189264745602,,-0.003992021269537571
1998-04-02,0.0,0.0,0.056352936551131716,0.0,0.0,,0.05166141513531164,,,,,,,0.030971146648264503,0.0212022076506031,0.00679504313282886,,0.0,0.009828088936262636,0.002989538848366058,-0.0005243380352584204,,0.018692133012152556,0.03643074162491344,-0.057537992512185276,,,,,,,0.014051753455650351,,,0.0,0.010050335853501569,,,,-0.011904902506318371,0.03440142671733226,0.02559554718896373,0.0,,0.0,,,,0.0056872191205894485,,,-0.021882711249507913,-0.01920497983604985,,0.0,,,-0.016129381929883557
