date,symbol,log_return,target_rv_5d,target_rv_20d,split,company_name,price,adj_close,close,volume,financial_volume,log_price,r_t,abs_r_t,r2_t,rolling_mean_return_5d,rolling_mean_return_20d,rolling_vol_5d,rolling_vol_20d,rolling_vol_60d,rolling_vol_120d,rolling_abs_return_5d,rolling_abs_return_20d,rolling_abs_return_60d,rolling_skew_60d,rolling_kurtosis_60d,ewma_volatility,lagged_rv_5d,lagged_rv_20d,largest_eigenvalue,market_mode_share,number_of_eigenvalues_above_mp,mst_original_degree_centrality,mst_original_betweenness,mst_original_degree,mst_group_degree_centrality,mst_group_betweenness,mst_group_degree,pmfg_original_degree,pmfg_original_degree_centrality,pmfg_original_betweenness,pmfg_original_clustering,pmfg_group_degree,pmfg_group_degree_centrality,pmfg_group_betweenness,pmfg_group_clustering,sector_Basic Materials,sector_Financials,sector_Oil Gas and Biofuels,subsector_Banks,subsector_Mining,subsector_Oil Gas and Biofuels
2006-01-02,BBDC4,0.0,0.046348187039900075,0.10287941394308593,train,BRADESCO,4.6111357919141,4.6111357919141,67.7,543600,36246286.0,1.5284742023494076,0.0,0.0,0.0,-0.010305920648864852,-0.0026255582002307903,0.01519806973924777,0.02166178176262855,0.02334711910821049,0.021655093811342573,0.012607754076230378,0.01575593801906834,0.018483873153514425,0.007107450168336853,-0.692429482915686,0.02106857264317742,0.03814426952111793,0.09514879983877451,21.650461852002376,0.37328382503452373,5.0,0.0526315789473684,0.5075187969924811,3,0.175438596491228,0.5827067669172932,10,16,0.2807017543859649,0.3590225563909774,0.1586088454773463,12,0.2105263157894736,0.213032581453634,0.2969180724485828,False,True,False,True,False,False
2006-01-03,BBDC4,0.0360529313437294,0.02987437548580894,0.09641685375662432,train,BRADESCO,4.780413904686276,4.780413904686276,70.6,2268900,157645517.0,1.564527133693137,0.0360529313437294,0.0360529313437294,0.001299813858475666,0.002509983066413087,-0.0025109810172234,0.022010278785700325,0.021869440535688893,0.02344932829654883,0.021847712445933417,0.0142130228984442,0.01587051520207573,0.018683845143731094,-0.04983636601922074,-0.6994314931392226,0.02159370092954229,0.04437690349568607,0.09598581494634377,21.650461852002376,0.37328382503452373,5.0,0.0526315789473684,0.5075187969924811,3,0.175438596491228,0.5827067669172932,10,16,0.2807017543859649,0.3590225563909774,0.1586088454773463,12,0.2105263157894736,0.213032581453634,0.2969180724485828,False,True,False,True,False,False
2006-01-04,BBDC4,0.0237939846655226,0.034983930421320086,0.10054666279539073,train,BRADESCO,4.895523021371356,4.895523021371356,72.3,1909900,138398523.0,1.5883211183586596,0.0237939846655226,0.0237939846655226,0.0005661537062631246,0.006117863285834847,-0.002888599170684465,0.024058297852102083,0.021312162030031244,0.02319136911327273,0.021871255143232918,0.01782090311786596,0.015492897048614665,0.018609436958068222,-0.10915512862523526,-0.6419138676685278,0.021552970010934275,0.050023474870131736,0.09379145409294704,21.650461852002376,0.37328382503452373,5.0,0.0526315789473684,0.5075187969924811,3,0.175438596491228,0.5827067669172932,10,16,0.2807017543859649,0.3590225563909774,0.1586088454773463,12,0.2105263157894736,0.213032581453634,0.2969180724485828,False,True,False,True,False,False
2006-01-05,BBDC4,-0.0086123604980437,0.03414843841377099,0.1015672882979219,train,BRADESCO,4.853542049403857,4.853542049403857,71.68,877100,63123738.0,1.579708757860616,-0.0086123604980437,0.0086123604980437,7.417275334826353e-05,0.009362606050666227,-0.0013164044046613502,0.01950255267518333,0.01950957601968274,0.022796690214515622,0.021880549833416908,0.014576160353034582,0.013920702282591551,0.01808776672407613,-0.0713969415034313,-0.5828229956220694,0.021317025216053515,0.0442683883114474,0.08524380320011572,21.650461852002376,0.37328382503452373,5.0,0.0526315789473684,0.5075187969924811,3,0.175438596491228,0.5827067669172932,10,16,0.2807017543859649,0.3590225563909774,0.1586088454773463,12,0.2105263157894736,0.213032581453634,0.2969180724485828,False,True,False,True,False,False
2006-01-06,BBDC4,0.0141296158727985,0.033869336639068,0.10076143097859053,train,BRADESCO,4.922607519414905,4.922607519414905,72.7,1202300,87420062.0,1.5938383737334143,0.0141296158727985,0.0141296158727985,0.00019964604471283933,0.013072834276801368,0.0015977554626438648,0.017925480346815615,0.016960568544102633,0.022818317025155237,0.0218660639423687,0.01651777847601884,0.012419504002566185,0.01829352495873109,-0.10551082809200367,-0.5876422380803952,0.02105025246467774,0.04625782488184984,0.07427390707249111,21.650461852002376,0.37328382503452373,5.0,0.0526315789473684,0.5075187969924811,3,0.175438596491228,0.5827067669172932,10,16,0.2807017543859649,0.3590225563909774,0.1586088454773463,12,0.2105263157894736,0.213032581453634,0.2969180724485828,False,True,False,True,False,False
2006-01-09,BBDC4,-0.0028927632266875,0.038493103479585365,0.10496771257735553,train,BRADESCO,4.908388157942041,4.908388157942041,72.49,753600,54637644.0,1.590945610506727,-0.0028927632266875,0.0028927632266875,8.368079085675476e-06,0.012494281631463867,0.0017037443924867,0.018490667067833526,0.01692366900040068,0.02266783872095642,0.021841431595237503,0.01709633112135634,0.012313515072723349,0.017915682453182293,-0.05740151446010549,-0.5405765576610749,0.020738363036037384,0.046348187039900075,0.07416101250229759,21.650461852002376,0.37328382503452373,5.0,0.0526315789473684,0.5075187969924811,3,0.175438596491228,0.5827067669172932,10,16,0.2807017543859649,0.3590225563909774,0.1586088454773463,12,0.2105263157894736,0.213032581453634,0.2969180724485828,False,True,False,True,False,False
2006-01-10,BBDC4,-0.0066436230520106,0.038005712444081,0.10502741428678293,train,BRADESCO,4.875886760289784,4.875886760289784,72.01,1869100,133344276.0,1.5843019874547164,-0.0066436230520106,0.0066436230520106,4.413772725720664e-05,0.003954970752315867,0.001228193966028365,0.014267702534121423,0.017022589318136504,0.021997975569616333,0.021857303337348023,0.011214469463012581,0.012502326951466075,0.01737412340855536,-0.008976359485900752,-0.48637272085481464,0.020479843926257388,0.02987437548580894,0.07440276609877176,21.650461852002376,0.37328382503452373,5.0,0.0526315789473684,0.5075187969924811,3,0.175438596491228,0.5827067669172932,10,16,0.2807017543859649,0.3590225563909774,0.1586088454773463,12,0.2105263157894736,0.213032581453634,0.2969180724485828,False,True,False,True,False,False
2006-01-11,BBDC4,0.029959151912559,0.032433202820717384,0.10354648326386628,train,BRADESCO,5.024174387078211,5.024174387078211,74.2,1497300,110828096.0,1.6142611393672754,0.029959151912559,0.029959151912559,0.0008975507833197876,0.005188004201723146,0.0031936127156236642,0.016502260827976324,0.017979419770997623,0.02211441306690828,0.021981353843039855,0.01244750291241986,0.013532823393126675,0.01765480049914058,-0.0740790847664456,-0.5138221472633081,0.02070025449439968,0.034983930421320086,0.07966124788302613,21.650461852002376,0.37328382503452373,5.0,0.0526315789473684,0.5075187969924811,3,0.175438596491228,0.5827067669172932,10,16,0.2807017543859649,0.3590225563909774,0.1586088454773463,12,0.2105263157894736,0.213032581453634,0.2969180724485828,False,True,False,True,False,False
2006-01-12,BBDC4,-0.0040513222191784,0.05171174655771874,0.10886051842080936,train,BRADESCO,5.00386101354555,5.00386101354555,73.9,1094700,81280914.0,1.610209817148097,-0.0040513222191784,0.0040513222191784,1.6413211723608596e-05,0.0061002118574962055,0.0034994024724369446,0.015652898474143622,0.01779124710489788,0.021692552151484676,0.02197938208718736,0.0115352952566468,0.013227033636313395,0.01707040755869333,-0.04354780802190216,-0.42613840320595675,0.02041226985385094,0.03414843841377099,0.07911357248086558,21.650461852002376,0.37328382503452373,5.0,0.0526315789473684,0.5075187969924811,3,0.175438596491228,0.5827067669172932,10,16,0.2807017543859649,0.3590225563909774,0.1586088454773463,12,0.2105263157894736,0.213032581453634,0.2969180724485828,False,True,False,True,False,False
2006-01-13,BBDC4,0.0134410625690175,0.05033158743988709,0.1127367845505902,train,BRADESCO,5.07157225865442,5.07157225865442,74.9,650700,48416476.0,1.6236508797171143,0.0134410625690175,0.0134410625690175,0.00018066216298424332,0.0059625011967400065,0.0038730775958409846,0.015567392698882267,0.01792380530973295,0.021348490512356218,0.021807154533973173,0.0113975845958906,0.013600708759717436,0.016862660762579553,-0.08890999566549125,-0.31732621599862454,0.02014701195207802,0.033869336639068,0.08002504445553982,21.650461852002376,0.37328382503452373,5.0,0.0526315789473684,0.5075187969924811,3,0.175438596491228,0.5827067669172932,10,16,0.2807017543859649,0.3590225563909774,0.1586088454773463,12,0.2105263157894736,0.213032581453634,0.2969180724485828,False,True,False,True,False,False
2006-01-16,BBDC4,0.0185190477672376,0.04693016077204411,0.11127936573494486,train,BRADESCO,5.166368001806839,5.166368001806839,76.3,300700,22795457.0,1.6421699274843522,0.0185190477672376,0.0185190477672376,0.00034295513020522793,0.010244863395525028,0.00412159096751015,0.015467165913033262,0.018098623355196592,0.02119085114124362,0.021509748297176445,0.014522841504000622,0.013849222131386599,0.016866889092411956,-0.1525634084186253,-0.2437670813733555,0.01997863314261733,0.038493103479585365,0.08101477286138198,21.650461852002376,0.37328382503452373,5.0,0.0526315789473684,0.5075187969924811,3,0.175438596491228,0.5827067669172932,10,16,0.2807017543859649,0.3590225563909774,0.1586088454773463,12,0.2105263157894736,0.213032581453634,0.2969180724485828,False,True,False,True,False,False
2006-01-17,BBDC4,0.0026178025420786,0.06895231086863916,0.11284601191734643,train,BRADESCO,5.179910250828613,5.179910250828613,76.5,1401700,105416493.0,1.6447877300264309,0.0026178025420786,0.0026178025420786,6.852890149313181e-06,0.012097148514342867,0.00498800055924898,0.01334849399269261,0.01755629706672454,0.02065617990257052,0.021310173792397847,0.01371767740201422,0.013244592793855628,0.01640365746114621,-0.15295916440196178,-0.09473308306651324,0.019652055621931345,0.038005712444081,0.07971104540016963,21.650461852002376,0.37328382503452373,5.0,0.0526315789473684,0.5075187969924811,3,0.175438596491228,0.5827067669172932,10,16,0.2807017543859649,0.3590225563909774,0.1586088454773463,12,0.2105263157894736,0.213032581453634,0.2969180724485828,False,True,False,True,False,False
2006-01-18,BBDC4,-0.0224728558520586,0.06862053327438317,0.13090009548733048,train,BRADESCO,5.064801134143533,5.064801134143533,74.8,1159200,86885392.0,1.6223148741743725,-0.0224728558520586,0.0224728558520586,0.0005050292501474045,0.001610746961419346,0.0037555122117249548,0.016116297002887702,0.01859833556157302,0.0205456174154433,0.021435440095250165,0.01222041818991414,0.014259390031537464,0.01613518829919371,-0.11769499656235728,-0.11017801105950208,0.01993210058123976,0.032433202820717384,0.08278974010712242,21.650461852002376,0.37328382503452373,5.0,0.0526315789473684,0.5075187969924811,3,0.175438596491228,0.5827067669172932,10,16,0.2807017543859649,0.3590225563909774,0.1586088454773463,12,0.2105263157894736,0.213032581453634,0.2969180724485828,False,True,False,True,False,False
2006-01-19,BBDC4,0.0404796899514257,0.0557970016556342,0.12461213935974871,train,BRADESCO,5.274028881529944,5.274028881529944,77.89,1520000,117586954.0,1.662794564125798,0.0404796899514257,0.0404796899514257,0.001638605298563555,0.010516949395540166,0.0040134344549678045,0.023027557453559538,0.01908844082383576,0.020912424501842167,0.02168054006086969,0.019506091736363602,0.014517312274780314,0.016416859912327556,-0.08188162087764854,-0.17632396206747933,0.02068123077928307,0.05171174655771874,0.08511848219454443,21.650461852002376,0.37328382503452373,5.0,0.0526315789473684,0.5075187969924811,3,0.175438596491228,0.5827067669172932,10,16,0.2807017543859649,0.3590225563909774,0.1586088454773463,12,0.2105263157894736,0.213032581453634,0.2969180724485828,False,True,False,True,False,False
