source,target,weight,distance,correlation,same_sector,same_subsector,matrix_type
ALPA4,GUAR3,1.001877489193878,1.001877489193878,0.4981207483232854,1,0,filtered
BAZA3,BBDC4,1.1485262621376484,1.1485262621376484,0.3404437125900608,1,1,filtered
BBAS3,BBDC4,0.7062863374657353,0.7062863374657353,0.7505798047546187,1,1,filtered
BBDC3,BBDC4,0.6351210738775293,0.6351210738775293,0.798310610758327,1,1,filtered
BBDC4,ITSA4,0.643775505904907,0.643775505904907,0.7927765489984405,1,0,filtered
BBDC4,PETR3,0.8040934364249711,0.8040934364249711,0.6767168727491405,0,0,filtered
BBDC4,PETR4,0.8059666754053716,0.8059666754053716,0.6752088590680062,0,0,filtered
BBDC4,CYRE3,0.8593374795225385,0.8593374795225385,0.6307695481439254,0,0,filtered
BBDC4,CCRO3,0.9020095344136599,0.9020095344136599,0.5931893999134262,0,0,filtered
BBDC4,ITSA3,0.9749307360672096,0.9749307360672096,0.5247550299357244,1,0,filtered
BBDC4,PSSA3,0.99131180612144,0.99131180612144,0.5086504515221243,1,0,filtered
BBDC4,BEES3,1.1665963640277903,1.1665963640277903,0.3195264617185696,1,1,filtered
BOBR4,RAPT4,1.1924777155203725,1.1924777155203725,0.2889984489936568,0,0,filtered
BRAP3,GGBR4,0.7654825994356472,0.7654825994356472,0.7070181949806222,1,0,filtered
BRAP4,GGBR4,0.6501529692253768,0.6501529692253768,0.7886505583037131,1,0,filtered
BRKM3,GOAU4,1.0747980050151391,1.0747980050151391,0.4224046242077384,1,0,filtered
BRKM5,GOAU4,0.9438165501131037,0.9438165501131037,0.5546051598662995,1,0,filtered
CGAS5,RAPT4,1.1734244850647442,1.1734244850647442,0.3115374889252699,0,0,filtered
CMIG3,CMIG4,0.7994709230130583,0.7994709230130583,0.6804231216283243,1,1,filtered
CMIG4,CPLE6,0.7547664383092036,0.7547664383092036,0.7151638118010195,1,1,filtered
CMIG4,ELET6,0.7901903408855301,0.7901903408855301,0.6877996125856048,1,1,filtered
CMIG4,ELET3,0.7987059703299557,0.7987059703299557,0.681034386479642,1,1,filtered
CMIG4,CPFE3,0.8419682678797958,0.8419682678797958,0.6455447179417482,1,1,filtered
CMIG4,CPLE3,0.8439841330062811,0.8439841330062811,0.6438453916168181,1,1,filtered
CMIG4,SBSP3,0.8727737788151669,0.8727737788151669,0.619132965506347,1,0,filtered
CMIG4,ITSA4,0.9138697349540166,0.9138697349540166,0.5824210537675377,0,0,filtered
CMIG4,TRPL4,0.9652471629828385,0.9652471629828385,0.5341489571767908,1,1,filtered
CMIG4,SAPR4,0.9941204940373036,0.9941204940373036,0.5058622216675137,1,0,filtered
CMIG4,COCE5,1.1006978884462173,1.1006978884462173,0.3942320791850194,1,1,filtered
CSNA3,GOAU4,0.6651503883447829,0.6651503883447829,0.7787874804423922,1,1,filtered
CTNM4,RAPT4,1.1507719774939413,1.1507719774939413,0.3378619279073419,0,0,filtered
CYRE3,LREN3,0.9035800281823592,0.9035800281823592,0.5917715663349835,0,0,filtered
CYRE3,RAPT4,0.9081356972487685,0.9081356972487685,0.5876447776912466,0,0,filtered
CYRE3,RENT3,0.9391517074985557,0.9391517074985557,0.5589970351512736,0,0,filtered
CYRE3,POMO4,0.9741127461485506,0.9741127461485506,0.5255521788954647,0,0,filtered
CYRE3,GRND3,1.003413176151896,1.003413176151896,0.4965809989623819,0,0,filtered
CYRE3,EMBR3,1.049120355200626,1.049120355200626,0.4496732401518561,0,0,filtered
EMAE4,RAPT4,1.2217166856164718,1.2217166856164718,0.2537041700431515,0,0,filtered
ETER3,RAPT4,1.1273036079625975,1.1273036079625975,0.3645932877372551,1,0,filtered
FESA4,GOAU4,0.9671579178706637,0.9671579178706637,0.5323027809500412,1,1,filtered
GGBR3,GOAU4,0.6087361156042682,0.6087361156042682,0.8147201707795135,1,1,filtered
GGBR4,GOAU4,0.5713958245364189,0.5713958245364189,0.836753405851173,1,1,filtered
GGBR4,VALE3,0.65305725130961,0.65305725130961,0.7867581132559684,1,0,filtered
GOAU3,GOAU4,0.6574568518912763,0.6574568518912763,0.7838752439506061,1,1,filtered
GOAU4,USIM5,0.6471030067018114,0.6471030067018114,0.7906288493587377,1,1,filtered
GOAU4,USIM3,0.7187075987137499,0.7187075987137499,0.7417296937755578,1,1,filtered
GOAU4,PETR3,0.881983091056466,0.881983091056466,0.6110529135452408,0,0,filtered
GOAU4,KLBN4,0.9774669950959515,0.9774669950959515,0.5222791367490456,1,0,filtered
GOAU4,UNIP6,1.0170840359493716,1.0170840359493716,0.4827700319084686,1,0,filtered
GUAR3,RAPT4,0.964341727103078,0.964341727103078,0.5350225166839263,0,0,filtered
ITSA4,SCAR3,1.0979327652458604,1.0979327652458604,0.3972718214997893,0,0,filtered
KEPL3,RAPT4,1.2515463785644754,1.2515463785644754,0.2168158311510735,1,0,filtered
LREN3,TELB4,1.2849587694296125,1.2849587694296125,0.174440480432968,0,0,filtered
MGEL4,RAPT4,1.2365817746582342,1.2365817746582342,0.235432757291546,0,0,filtered
RAPT4,ROMI3,1.0823997142945976,1.0823997142945976,0.4142054292474868,1,0,filtered
RAPT4,SHUL4,1.1058943903841036,1.1058943903841036,0.3884987986584859,1,0,filtered
TELB3,TELB4,0.5818800458344193,0.5818800458344193,0.830707806129867,1,1,filtered
