rank,eigenvalue
1,21.650461852002376
2,3.09565032761159
3,1.7838761140083956
4,1.6543442182562562
5,1.4835128614278588
6,1.167321960693605
7,1.0927494816230265
8,1.0334261691382332
9,1.0119722307668206
10,1.0020719284677626
11,0.9607031966212822
12,0.9357840165254078
13,0.9152816879814385
14,0.8849471220872459
15,0.8772251052686797
16,0.8368070496879471
17,0.8229711823441873
18,0.8007323410496097
19,0.7790154337242715
20,0.7659312324778385
21,0.7524662378774428
22,0.7321893529742939
23,0.7177194784162428
24,0.6969399521035383
25,0.6705138475552466
26,0.6582804408228218
27,0.635401783646092
28,0.6033256461218709
29,0.5846542777776585
30,0.5736661790463168
31,0.5485510305565966
32,0.5329188092223651
33,0.5310114767983379
34,0.5041759009810578
35,0.4922791550982454
36,0.469159387177149
37,0.44094931379201036
38,0.42413385625164446
39,0.41585351868659015
40,0.37479174419452904
41,0.3619651458853874
42,0.3449355005120008
43,0.3006410714284455
44,0.27586397331596196
45,0.25618447339085404
46,0.24987956999487718
47,0.198310077261241
48,0.19535423610072
49,0.1754367707677685
50,0.16638626779059498
51,0.12906070447329282
52,0.10669049061862063
53,0.08433685901211366
54,0.07430326070315202
55,0.05781622745591288
56,0.048171047487061164
57,0.038379287646801444
58,0.02251813529130108
