matrix_type,n_nodes,n_edges,mean_edge_correlation,median_edge_correlation,mean_edge_distance,median_edge_distance,same_sector_edges,same_sector_edge_ratio,same_subsector_edges,same_subsector_edge_ratio,top_degree_node,top_betweenness_node
original,58,57,0.5795960980833309,0.5762506091908597,0.8762580495352831,0.9205969702417451,41,0.7192982456140351,26,0.45614035087719296,RAPT4,ITSA4
filtered,58,57,0.5598649699587045,0.5589970351512736,0.9186652768717359,0.9391517074985557,37,0.6491228070175439,20,0.3508771929824561,GOAU4,BBDC4
group_mode,58,57,0.13883023718480553,0.1178321579242712,1.308699018232431,1.328282983460775,36,0.631578947368421,20,0.3508771929824561,ALPA4,ALPA4
