source,target,distance,correlation,weight,same_sector,same_subsector,sector_source,sector_target,subsector_source,subsector_target,matrix_type
BRKM5,SHUL4,1.3623929705921698,0.0719426968405214,1.3623929705921698,False,False,Basic Materials,Industrials,Chemicals,Machinery and Equipment,group_mode
BRKM5,ROMI3,1.3671018182597092,0.0655163092554986,1.3671018182597092,False,False,Basic Materials,Industrials,Chemicals,Machinery and Equipment,group_mode
CCRO3,GRND3,1.359631516800618,0.0757010692612257,1.359631516800618,False,False,Industrials,Consumer Cyclical,Transportation,Apparel and Footwear,group_mode
CCRO3,LREN3,1.3687388518449815,0.0632769777250411,1.3687388518449815,False,False,Industrials,Consumer Cyclical,Transportation,Retail,group_mode
CCRO3,GUAR3,1.371339891721673,0.059713450686395,1.371339891721673,False,False,Industrials,Consumer Cyclical,Transportation,Retail,group_mode
CCRO3,PSSA3,1.380808118914655,0.0466844693696858,1.380808118914655,False,False,Industrials,Financials,Transportation,Insurance,group_mode
CCRO3,SCAR3,1.40797882253801,0.0087978176422394,1.40797882253801,False,False,Industrials,Real Estate,Transportation,Real Estate,group_mode
CGAS5,GUAR3,1.360580110582682,0.0744108813434083,1.360580110582682,False,False,Utilities,Consumer Cyclical,Gas Utility,Retail,group_mode
CMIG3,CMIG4,1.2608556951630474,0.2051214579874543,1.2608556951630474,True,True,Utilities,Utilities,Electric Utility,Electric Utility,group_mode
CMIG3,CPLE6,1.2803027433368315,0.1804124427020917,1.2803027433368315,True,True,Utilities,Utilities,Electric Utility,Electric Utility,group_mode
CMIG3,CPLE3,1.281596262723132,0.1787555096870502,1.281596262723132,True,True,Utilities,Utilities,Electric Utility,Electric Utility,group_mode
CMIG3,ELET6,1.2859602571686375,0.1731531084913859,1.2859602571686375,True,True,Utilities,Utilities,Electric Utility,Electric Utility,group_mode
CMIG3,ELET3,1.2887386627722963,0.1695763295379367,1.2887386627722963,True,True,Utilities,Utilities,Electric Utility,Electric Utility,group_mode
CMIG3,CPFE3,1.2944999450897372,0.1621349460813337,1.2944999450897372,True,True,Utilities,Utilities,Electric Utility,Electric Utility,group_mode
CMIG3,TRPL4,1.3215474473781292,0.1267561721641754,1.3215474473781292,True,True,Utilities,Utilities,Electric Utility,Electric Utility,group_mode
CMIG3,SAPR4,1.3216390732506516,0.1266350800285795,1.3216390732506516,True,False,Utilities,Utilities,Electric Utility,Water and Sanitation,group_mode
CMIG3,SBSP3,1.33094148785274,0.1142973779561674,1.33094148785274,True,False,Utilities,Utilities,Electric Utility,Water and Sanitation,group_mode
CMIG3,COCE5,1.3462731039917886,0.0937743647341576,1.3462731039917886,True,True,Utilities,Utilities,Electric Utility,Electric Utility,group_mode
CMIG3,SHUL4,1.401311739355033,0.0181627045728861,1.401311739355033,False,False,Utilities,Industrials,Electric Utility,Machinery and Equipment,group_mode
CMIG4,CPLE6,1.2800524338964385,0.1807328832379018,1.2800524338964385,True,True,Utilities,Utilities,Electric Utility,Electric Utility,group_mode
