cluster,sector,share,count
1,Financials,0.2857142857142857,8
1,Industrials,0.2857142857142857,8
1,Consumer Cyclical,0.17857142857142858,5
1,Basic Materials,0.03571428571428571,1
1,Utilities,0.07142857142857142,2
1,Oil Gas and Biofuels,0.07142857142857142,2
1,Real Estate,0.07142857142857142,2
2,Basic Materials,0.8823529411764706,15
2,Industrials,0.058823529411764705,1
2,Consumer Non-Cyclical,0.058823529411764705,1
3,Telecommunications,0.15384615384615385,2
3,Utilities,0.8461538461538461,11
