correlation_group,n_pairs,mean,median,std,min,max
Between-sector,1378,0.22488339003549304,0.2075975524972406,0.11657288390788517,-0.0236488344893768,0.5551881315504259
Within-sector,275,0.34329048911833593,0.3082194911699184,0.18188072844020914,0.0533955513137034,0.9401996848942772
