symbol,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality
ALPA4,0.21052631578947367,0.6560150375939849,0.19251038352069705,0.6745550884233841
BBDC4,0.17543859649122806,0.5827067669172932,0.17642679753199392,0.10675732583613985
BRAP4,0.15789473684210525,0.34774436090225563,0.1286722974783195,0.008009875420881503
CMIG4,0.10526315789473684,0.16917293233082706,0.11910406558712051,0.013426414592615801
CMIG3,0.08771929824561403,0.2838345864661654,0.13552915219901437,0.03162481934832453
SHUL4,0.08771929824561403,0.19987468671679198,0.15025653230675726,0.09496367977799929
GRND3,0.07017543859649122,0.5394736842105263,0.19084708405936393,0.25535208745245863
VALE3,0.05263157894736842,0.3659147869674185,0.1419637361030458,0.0126877425065182
GUAR3,0.05263157894736842,0.4880952380952381,0.17728923319351952,0.22859478501592237
BRKM3,0.03508771929824561,0.03508771929824561,0.12632818022994705,0.029060118484188973
GGBR4,0.03508771929824561,0.10150375939849623,0.112713944336193,0.0023224833284638965
FESA4,0.03508771929824561,0.06892230576441102,0.09913531680388275,0.0007150995082079975
PSSA3,0.03508771929824561,0.49624060150375937,0.1841252140960226,0.10390266033839349
PETR3,0.03508771929824561,0.3771929824561403,0.1580648605325826,0.03385908765290457
SAPR4,0.03508771929824561,0.29448621553884713,0.15390786763382644,0.07428583268831257
TELB4,0.03508771929824561,0.03508771929824561,0.08775676741442032,0.00021232972060480755
ROMI3,0.03508771929824561,0.03508771929824561,0.126831238395556,0.028356136126597948
CGAS5,0.017543859649122806,0.0,0.15312839429810804,0.19360977219274328
BOBR4,0.017543859649122806,0.0,0.153169544283839,0.19335551043037122
BRAP3,0.017543859649122806,0.0,0.12092135730824255,0.0033419068174471932
CCRO3,0.017543859649122806,0.0,0.15207794487069656,0.07328217977656475
BRKM5,0.017543859649122806,0.0,0.10810508012683827,0.008330948797673703
BEES3,0.017543859649122806,0.0,0.14224184924802638,0.031246986959551495
BBDC3,0.017543859649122806,0.0,0.1445462347842221,0.028676081378114573
BAZA3,0.017543859649122806,0.0,0.14266332117644664,0.030770562451596584
BBAS3,0.017543859649122806,0.0,0.14421781804144349,0.02903746190369354
EMBR3,0.017543859649122806,0.0,0.15266171989980135,0.1965028999332462
EMAE4,0.017543859649122806,0.0,0.12546612396017343,0.02682889528797532
ELET6,0.017543859649122806,0.0,0.10355678216326211,0.003636049280512285
ELET3,0.017543859649122806,0.0,0.10352725006714007,0.0036439951499796027
CYRE3,0.017543859649122806,0.0,0.15230663846171305,0.0727405121122925
CTNM4,0.017543859649122806,0.0,0.15381742972769305,0.18937022193839081
CSNA3,0.017543859649122806,0.0,0.11090675227887178,0.0021429148412757918
CPLE6,0.017543859649122806,0.0,0.10358814421700455,0.0036276160053032385
CPLE3,0.017543859649122806,0.0,0.11577292037000093,0.008554870558242555
CPFE3,0.017543859649122806,0.0,0.10344676515159015,0.00366567335295021
COCE5,0.017543859649122806,0.0,0.11492746093847057,0.008986599349331338
ITSA3,0.017543859649122806,0.0,0.14350478375209766,0.02982775879905994
GOAU3,0.017543859649122806,0.0,0.11070748706569687,0.0021708509507219263
GGBR3,0.017543859649122806,0.0,0.11096528223605093,0.002134728261231342
GOAU4,0.017543859649122806,0.0,0.11090691567881478,0.0021428919745122314
ETER3,0.017543859649122806,0.0,0.15388891051748418,0.18893258297564747
PETR4,0.017543859649122806,0.0,0.14314488464307498,0.030229645578459446
MGEL4,0.017543859649122806,0.0,0.15288422390220677,0.1951212929604881
LREN3,0.017543859649122806,0.0,0.15398916477677735,0.1883194638595653
KLBN4,0.017543859649122806,0.0,0.1099664411109692,0.002275630709442516
ITSA4,0.017543859649122806,0.0,0.14435222699558145,0.0288893633038725
KEPL3,0.017543859649122806,0.0,0.12486824663689605,0.02760749195390078
RENT3,0.017543859649122806,0.0,0.1538203759932647,0.18935217547998134
POMO4,0.017543859649122806,0.0,0.15359991100853143,0.1907044793866636
SCAR3,0.017543859649122806,0.0,0.1421261373403316,0.031378280049815695
SBSP3,0.017543859649122806,0.0,0.10308216930439568,0.0037642994011634996
RAPT4,0.017543859649122806,0.0,0.1537812257824687,0.18959203470744232
TELB3,0.017543859649122806,0.0,0.08317065414597198,2.8674787611169803e-05
TRPL4,0.017543859649122806,0.0,0.1152492140751334,0.008821551433735857
UNIP6,0.017543859649122806,0.0,0.10841218698764275,0.008160770048777091
USIM3,0.017543859649122806,0.0,0.11067791409255452,0.002175005524221
USIM5,0.017543859649122806,0.0,0.11073470639794301,0.0021670289907750008
