date,pair,pearson_20d,pearson_60d,ewma
2006-01-02,PETR4 x VALE3,,,
2006-01-03,PETR4 x VALE3,,,-1.0000000000000002
2006-01-04,PETR4 x VALE3,,,0.10188666828063063
2006-01-05,PETR4 x VALE3,,,0.46747149234113544
2006-01-06,PETR4 x VALE3,,,0.3750571921371579
2006-01-09,PETR4 x VALE3,,,0.5035463217736013
2006-01-10,PETR4 x VALE3,,,0.5704761677595701
2006-01-11,PETR4 x VALE3,,,0.6586673817857008
2006-01-12,PETR4 x VALE3,,,0.6089791753576338
2006-01-13,PETR4 x VALE3,,,0.6538015905705096
2006-01-16,PETR4 x VALE3,,,0.6599537689599823
2006-01-17,PETR4 x VALE3,,,0.7398951167722672
2006-01-18,PETR4 x VALE3,,,0.7768618277220382
2006-01-19,PETR4 x VALE3,,,0.8055471340035275
2006-01-20,PETR4 x VALE3,,,0.6759073549367449
2006-01-23,PETR4 x VALE3,,,0.651948818530729
2006-01-24,PETR4 x VALE3,,,0.647997277170978
2006-01-26,PETR4 x VALE3,,,0.6163633426654314
2006-01-27,PETR4 x VALE3,,,0.6048214231078002
2006-01-30,PETR4 x VALE3,0.5813671997192142,,0.5590668757263901
2006-01-31,PETR4 x VALE3,0.632994681854132,,0.5586111433183198
2006-02-01,PETR4 x VALE3,0.5973544146178003,,0.5756737446202291
2006-02-02,PETR4 x VALE3,0.6992462841429741,,0.6941648887030726
2006-02-03,PETR4 x VALE3,0.7110512208924764,,0.7099107223930203
2006-02-06,PETR4 x VALE3,0.6788296425740241,,0.662542344968206
2006-02-07,PETR4 x VALE3,0.7326682565337259,,0.7314698482799625
2006-02-08,PETR4 x VALE3,0.7374443794293499,,0.7365043861363519
2006-02-09,PETR4 x VALE3,0.6757370553710751,,0.7103222715516189
2006-02-10,PETR4 x VALE3,0.6919217710178888,,0.7260717662845807
2006-02-13,PETR4 x VALE3,0.6953031173242558,,0.7304038443473893
2006-02-14,PETR4 x VALE3,0.6661980894604971,,0.7177520819459843
2006-02-15,PETR4 x VALE3,0.6609550584535474,,0.711485428766377
2006-02-16,PETR4 x VALE3,0.5935838435692989,,0.6316997267281952
2006-02-17,PETR4 x VALE3,0.5061153887632363,,0.5866063892203289
2006-02-20,PETR4 x VALE3,0.5341441139674056,,0.5602235893980123
2006-02-21,PETR4 x VALE3,0.4938442265092405,,0.49419592691803826
2006-02-22,PETR4 x VALE3,0.4351906690511107,,0.46693030736720736
2006-02-23,PETR4 x VALE3,0.4528239070924857,,0.4712255630032204
2006-02-24,PETR4 x VALE3,0.4801065156680259,,0.4818980705200782
2006-03-01,PETR4 x VALE3,0.43944924062395035,,0.45053094270613137
2006-03-02,PETR4 x VALE3,0.40882978009062937,,0.4488109206316835
2006-03-03,PETR4 x VALE3,0.4143056195859743,,0.44916399343868557
2006-03-06,PETR4 x VALE3,0.32903937978008735,,0.4639053374799726
2006-03-07,PETR4 x VALE3,0.42963189338866475,,0.5510517030338056
2006-03-08,PETR4 x VALE3,0.4405757154753902,,0.5517513492805545
2006-03-09,PETR4 x VALE3,0.4074231136440267,,0.5858019880182868
2006-03-10,PETR4 x VALE3,0.4141705056303135,,0.5894601891756769
2006-03-13,PETR4 x VALE3,0.4550334373029701,,0.5956209605906193
2006-03-14,PETR4 x VALE3,0.4380826056111283,,0.5939291982935447
2006-03-15,PETR4 x VALE3,0.41905673617322864,,0.5972345560009132
2006-03-16,PETR4 x VALE3,0.43572693148188324,,0.5956529341021483
2006-03-17,PETR4 x VALE3,0.4127250568581137,,0.5700459603104323
2006-03-20,PETR4 x VALE3,0.46684653900195483,,0.5783981698455695
2006-03-21,PETR4 x VALE3,0.5372527466185733,,0.5853800021058371
2006-03-22,PETR4 x VALE3,0.5672913884893153,,0.5685136600305919
2006-03-23,PETR4 x VALE3,0.6436415159256278,,0.5684341727163961
2006-03-24,PETR4 x VALE3,0.6638704769305176,,0.5571220657413698
