date,avg_correlation,median_correlation,std_correlation,p25_correlation,p75_correlation,n_assets,n_pairs
1999-03-26,0.20517772249049146,0.20372620439134478,0.2633393227847225,0.0802201659420719,0.3291884002144972,40,768
1999-03-29,0.20363772411209338,0.20424915400830806,0.26502739005760795,0.07867567843417722,0.32861318046873345,40,768
1999-03-30,0.2036338898621427,0.20275077945412145,0.26465621704433034,0.07898848605005522,0.3294557038548458,40,768
1999-03-31,0.20268583241086732,0.20001156845717816,0.2649011013156738,0.07702419851250926,0.32711116926562217,40,768
1999-04-05,0.20011722973919188,0.19670813345221186,0.2670206598087748,0.0753450498350247,0.32727079924529534,40,768
1999-04-06,0.19764289230618295,0.19845017814902516,0.2750152657112436,0.07554572101049624,0.3282344649703913,40,768
1999-04-07,0.19801791610198763,0.19794273428182496,0.27525188134513745,0.07658543731186246,0.32808138274995724,40,768
1999-04-08,0.19732364571576774,0.19744765521563204,0.2756719906538044,0.07522080968846903,0.3279826464126774,40,768
1999-04-09,0.19747258537956502,0.19447909246674253,0.27663780493204243,0.07197090214342214,0.32748767551976704,40,769
1999-04-12,0.19736011670294648,0.19251531654951098,0.27671901704514457,0.07263624756961234,0.32727381001708705,40,769
1999-04-13,0.19661562691035092,0.19135448038808348,0.27631302433471444,0.07102718550881007,0.32660542849869767,40,769
1999-04-14,0.19603647916055297,0.18998974194301432,0.27694812274820146,0.07309058505445298,0.32705047735284093,40,769
1999-04-15,0.19929143319123419,0.19277818442596098,0.27401845689526727,0.0726090016919123,0.3261761404048402,40,770
1999-04-16,0.1982478028426125,0.19053332972723805,0.27415216531894837,0.0694127596229849,0.32448917636597563,40,770
1999-04-19,0.19776625706240383,0.19073710585952314,0.2743972106425866,0.0694127596229849,0.3252536659529075,40,770
1999-04-20,0.1971932967116145,0.19102963992967414,0.2744998786055866,0.07019573263635173,0.3253306379912116,40,770
1999-04-22,0.1997509533357127,0.19362152441757383,0.2741255561993704,0.07598033552232979,0.32797648376746447,40,771
1999-04-23,0.199618401807539,0.1917561432300794,0.2740039827544448,0.07240628001556981,0.3274347455261471,40,771
1999-04-26,0.1963280494079311,0.19068931642773407,0.27582180119161975,0.07163995896123174,0.32546399777358553,40,772
1999-04-27,0.19514841447066902,0.19101133722251679,0.2761828446480265,0.0670694148142784,0.3247643282106698,40,772
1999-04-28,0.19442033311952672,0.18882415307056916,0.2763284373720642,0.06660532398479521,0.3226691258383597,40,772
1999-04-29,0.19505108433064472,0.19040417125168763,0.2754457232172356,0.07060728074348399,0.32279492476457006,40,772
1999-04-30,0.19422009426813183,0.1904560097691173,0.2755444079134925,0.06609994160499832,0.32235414200633106,40,772
1999-05-03,0.1937957963026743,0.18928685780414378,0.275101124025425,0.06606107195241803,0.32346679615889107,40,772
1999-05-04,0.19418408893663866,0.18767688947117045,0.2748885284732591,0.06737158864106943,0.32435208996934806,40,772
1999-05-05,0.1950904016866326,0.1898986430094035,0.2746226062076133,0.06762542180366796,0.3252177322616934,40,772
1999-05-06,0.19557021998469507,0.18967734680709036,0.2746171611742034,0.06764949130050782,0.3250040194630303,40,772
1999-05-07,0.19504927742466688,0.18633570267241856,0.27359080632591815,0.06774075653300766,0.3237146708438689,40,772
1999-05-10,0.19546487300513063,0.18773810095919607,0.27334291108428577,0.06811423200986687,0.323925090539134,40,772
1999-05-11,0.1963660427606729,0.18940453313777816,0.27335331125477424,0.06901876146213452,0.32515068381017187,40,772
1999-05-12,0.20135309156302603,0.19180788481733974,0.263380906975808,0.06930070060901522,0.3268060120288845,40,772
1999-05-13,0.20050111843357485,0.1908673741337568,0.26306831973823663,0.06886259897478215,0.32453761722898933,40,772
1999-05-14,0.20172968828890103,0.1924576165334438,0.2651103710280373,0.07015463695936844,0.32365638712459766,40,772
1999-05-17,0.2008882524396588,0.1916840261674504,0.26468832687486676,0.07031378847473779,0.3208060337141458,40,772
1999-05-18,0.2009222925628017,0.19347647244402638,0.26482612384317955,0.07042101449495716,0.3209498471571566,40,772
1999-05-19,0.20016725595247342,0.19089690474929558,0.26314155072114637,0.07023597033285443,0.3215368563014473,40,771
1999-05-20,0.1999387304122442,0.19063431056294902,0.26296709353321657,0.07011372663090473,0.32178011292505326,40,771
1999-05-21,0.1990361210041602,0.1887212423018173,0.263259344414988,0.07043863334610688,0.3211901076684909,40,771
1999-05-24,0.20070798073063426,0.18953311167329803,0.263110154415537,0.07125013419869566,0.3234635435190677,40,771
1999-05-25,0.20310914518718914,0.193026881898699,0.262929604259417,0.07621224391441553,0.3236532967263268,40,771
1999-05-26,0.2056791618016146,0.19520371275857243,0.2616142971845827,0.0809509157792212,0.3261419362096753,40,771
1999-05-27,0.20761312282266434,0.19449018109027824,0.25869880836737097,0.07911639414930519,0.3286453397028136,40,771
1999-05-28,0.2079219249337888,0.19496916123034946,0.25882611178299886,0.07925235136169523,0.33225530198071557,40,771
1999-05-31,0.2086012150845947,0.1959459773324985,0.26063601523788626,0.07884135309154801,0.33179224405229235,40,771
1999-06-01,0.20934668203378903,0.19838202609663447,0.2646682242078611,0.07884131136211747,0.3341856767020488,40,771
1999-06-02,0.20944069367112247,0.1999496119597969,0.26759844511560604,0.08210175520986195,0.3337722826494771,40,771
1999-06-04,0.20980879154869006,0.19913762686557623,0.267644891456448,0.08280568560462155,0.33378934095595647,40,771
1999-06-07,0.20885157650756606,0.19659120882340989,0.2674720352669209,0.08117054953227529,0.33164288294724636,40,771
1999-06-08,0.20827739648559118,0.19850651923140428,0.26513771161745975,0.07735136903482139,0.3326532654696722,40,771
1999-06-09,0.20723135180369257,0.19531155222809576,0.2642781141836785,0.07998211236640992,0.33217150485916147,40,771
1999-06-10,0.2077052983262074,0.1961004449767922,0.26479049282552697,0.08017167304089377,0.3329393187659191,40,771
1999-06-11,0.2050480370126033,0.19481379437247695,0.26620003640417383,0.07437877411657971,0.3310615927808036,40,772
1999-06-14,0.20598437075717543,0.19578836729395602,0.2661015266092272,0.0766833665517795,0.3319597446455937,40,772
1999-06-15,0.20608974583595416,0.19548934523225744,0.2654743621978352,0.07919907675673134,0.33365816494777034,40,772
1999-06-16,0.2056189077943943,0.19550589238302926,0.26553933830009885,0.0778522427942881,0.33459170314240394,40,772
1999-06-17,0.20639134174733406,0.19499751379831026,0.2655163764690861,0.07931540173422347,0.33528103878817933,40,772
1999-06-18,0.20644213265960148,0.19332171081374008,0.26552982675916154,0.0803855864837355,0.3348349631486535,40,772
1999-06-21,0.20739158803668553,0.1939666835319147,0.264959476907487,0.08053859904147173,0.3396800807370412,40,772
1999-06-22,0.20771860013703583,0.1962388549120599,0.2646942306772629,0.08396790217501772,0.33920375734662617,40,772
1999-06-23,0.20409389413122975,0.19360468171256573,0.2676341875541085,0.08348514551021341,0.3386312699904347,40,772
1999-06-24,0.20223897821121062,0.19085404896617533,0.26810492945270825,0.077589289279669,0.33680345916321597,40,772
1999-06-25,0.20281030490697038,0.19269753339207923,0.26812794624326675,0.07787005599958954,0.3362016441331787,40,772
1999-06-28,0.201977801984327,0.19278258448951358,0.26767961105065863,0.07761907427054736,0.3407025699380917,40,772
1999-06-29,0.20082966066604482,0.19067297372607311,0.2679238284350345,0.07545489031425476,0.33666462048218915,40,772
1999-06-30,0.20087214784114,0.19125641680085081,0.2679119152793558,0.07407816346498358,0.33699092156690746,40,772
