symbol1,symbol2,correlation,n_obs
BBDC3,ELET3,0.45830658516138767,6851
BBDC3,SBSP3,0.45780584493777454,6885
BBDC4,GOAU4,0.4573322484354539,6885
CPFE3,ITSA4,0.4569049331672282,5264
CPLE6,PETR3,0.4555951436902863,6851
CCRO3,RENT3,0.45447896371851665,4937
CMIG4,PETR3,0.45446658676431984,6884
BRAP4,ITSA4,0.4541343861166704,6291
BBAS3,ELET3,0.4526553760922096,6846
CMIG3,SBSP3,0.45234701958040324,6880
ITSA4,USIM5,0.4519118260312528,6669
BBDC3,ELET6,0.4515117317565787,6851
CYRE3,GOAU4,0.45111316605822577,5064
BBAS3,ELET6,0.45054577331430007,6846
BRAP3,USIM5,0.4503576305389991,6210
PETR4,USIM5,0.4497646531078484,6668
CMIG3,ITSA4,0.44966872453882173,6879
CMIG3,CPFE3,0.4491358762912346,5264
BBAS3,CPLE6,0.4487180277471696,6846
BBDC4,CPFE3,0.44789293576546424,5264
ELET3,SBSP3,0.44772180380827575,6852
BBDC4,CSNA3,0.44754949013024203,6882
GGBR3,PETR4,0.44735169209687176,5682
BBAS3,GGBR4,0.44688933678620657,6171
CSNA3,ITSA4,0.44576447725027785,6881
ELET3,PETR3,0.4448292491512831,6851
CPLE6,CYRE3,0.44352600575781786,5030
BBDC4,BRAP4,0.44282760039572655,6291
CYRE3,SBSP3,0.4425985912056314,5064
BBAS3,USIM5,0.44139322407908566,6666
BBDC4,USIM5,0.44063911435349623,6669
CYRE3,GGBR4,0.44053665907788275,5064
ELET6,PETR3,0.43978384781412583,6851
GGBR3,PETR3,0.4392917427617807,5682
BBAS3,RENT3,0.4378887334947246,5106
BBDC3,CPFE3,0.4378134982542286,5264
PETR4,SBSP3,0.4369464715778621,6885
BBDC4,CMIG3,0.4356624871687876,6880
GGBR3,ITSA4,0.4322209178886825,5682
CYRE3,PETR4,0.4321744012040872,5064
BBAS3,SBSP3,0.4315238145353733,6880
BBDC3,GOAU4,0.4306580901233836,6884
BBDC3,CCRO3,0.4304186882336734,5665
CYRE3,ELET3,0.42979554823488014,5030
BBAS3,CMIG3,0.4297934121908564,6874
CPLE3,ITSA4,0.42962328804204164,6786
BBDC3,CSNA3,0.42956246151139105,6881
BBAS3,GOAU4,0.4291973668771243,6879
CPFE3,ELET3,0.42896188989252176,5230
GOAU4,USIM3,0.42806182427666656,6005
CYRE3,ELET6,0.4270842157415786,5030
CPFE3,CPLE3,0.4266279214494495,5172
CPFE3,SBSP3,0.42559456744382207,5264
PETR3,USIM5,0.42520930081892044,6668
BBAS3,BRAP4,0.4250889511475895,6288
CYRE3,POMO4,0.4245601877582975,5064
BBDC4,CCRO3,0.423906670051683,5665
CPFE3,ELET6,0.42303858596253413,5230
CYRE3,PETR3,0.42277391912911966,5064
CCRO3,ITSA4,0.4225105007085056,5665
CPFE3,CYRE3,0.4214298779477353,5064
PETR3,SBSP3,0.42103644594449396,6885
BBDC4,GGBR3,0.41981996900529717,5682
CMIG4,CYRE3,0.4194742629819877,5064
BBAS3,CSNA3,0.41718118427263196,6876
CYRE3,GUAR3,0.41674208168100046,5048
BBDC3,BRAP4,0.41672013120138507,6291
CPLE3,SBSP3,0.4165915649720461,6787
BBDC3,CMIG3,0.41638003172336446,6880
BBDC3,USIM5,0.4157601669435155,6669
GOAU3,USIM3,0.4148155754503107,5520
CYRE3,USIM5,0.4142661640325832,5064
BBDC4,CPLE3,0.41290588162627045,6787
GOAU3,PETR4,0.41218312038111693,5851
CMIG3,PETR4,0.41121033512819477,6879
BRAP3,PETR4,0.409627127728274,6210
BBAS3,CPFE3,0.4095296961013066,5264
CYRE3,GGBR3,0.4089757501116201,5064
ITSA4,LREN3,0.4085837558561191,5092
CSNA3,CYRE3,0.4082685698471021,5064
BRAP4,USIM3,0.40772130052417743,5850
BBDC3,GGBR3,0.40766414453301725,5682
CPLE6,GGBR4,0.4073887964382118,6140
BRKM5,GGBR4,0.40725660939197234,5783
ELET3,USIM5,0.40657019373936576,6635
BRAP3,PETR3,0.40644858079607027,6210
BBDC4,LREN3,0.405491787077898,5092
BBAS3,CCRO3,0.405491251565481,5665
CYRE3,GOAU3,0.4051799019996139,5039
CPLE6,TRPL4,0.40418282708433106,6274
CMIG4,GOAU4,0.40236960218069223,6884
BBDC4,ITSA3,0.4013660651245614,5710
CPLE3,PETR4,0.40133461188308095,6786
CCRO3,CPFE3,0.4011260542428599,5095
ITSA4,VALE3,0.4009570141142684,6856
BBAS3,GGBR3,0.40041857467702796,5681
CMIG4,TRPL4,0.40024772513816237,6274
ITSA4,PSSA3,0.40013555470429213,5229
GOAU3,PETR3,0.39918103300077057,5851
CMIG4,USIM5,0.3985553670471942,6669
RAPT4,RENT3,0.39816776084753613,5105
CMIG4,GGBR4,0.39768157483585537,6174
BBDC3,ITSA3,0.3972746110169052,5710
BBDC3,CPLE3,0.3964150280116025,6786
RENT3,SBSP3,0.3960780936816436,5106
GUAR3,LREN3,0.39555220869103824,5067
ELET6,USIM5,0.39523932503986947,6635
CPLE6,GOAU4,0.3949621880649515,6851
CPLE6,USIM5,0.3939175247618532,6635
BRKM5,GOAU4,0.392746009061998,5783
BBAS3,CPLE3,0.39274416907295256,6781
ELET3,GOAU4,0.39240935844814606,6851
POMO4,RAPT4,0.39169063417282324,6595
GGBR4,SBSP3,0.3915610726977349,6174
CMIG3,PETR3,0.3911015202250948,6879
BBDC3,LREN3,0.39089768792244417,5092
ELET6,TRPL4,0.3897856900891155,6274
CMIG3,CYRE3,0.3878530773604656,5064
BBDC4,VALE3,0.3863975580076623,6857
ALPA4,CYRE3,0.3860210843545709,5023
ELET6,GOAU4,0.38599856397932186,6851
BBDC4,BRKM5,0.3859246715930798,5783
CPLE6,RENT3,0.385131517898655,5072
CMIG3,TRPL4,0.384843060782092,6274
ELET3,GGBR4,0.3843719355030862,6140
BBDC4,BRAP3,0.3842645479789582,6210
GGBR4,RENT3,0.3841129491164921,5106
CSNA3,ELET3,0.3837413289051322,6848
CPLE3,CYRE3,0.38353956663586464,4972
GOAU4,SBSP3,0.3834763423929744,6885
BRKM5,CSNA3,0.38242422300764767,5783
ELET6,GGBR4,0.38164963159286036,6140
BBDC4,PSSA3,0.38128661661227,5229
BRAP3,ITSA4,0.38108698746717984,6210
GGBR4,KLBN4,0.38087011153869604,5949
BBAS3,LREN3,0.38071827159015426,5092
CCRO3,PETR4,0.3795032309903663,5665
BRKM5,ITSA4,0.37882791281929795,5783
