symbol,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality
RAPT4,0.12280701754385964,0.20112781954887216,0.24846414915385057,0.5955889639384395
CPLE6,0.10526315789473684,0.2593984962406015,0.24989643868211103,0.04408562134724681
ITSA4,0.10526315789473684,0.7155388471177945,0.34144833194695895,0.22701261500698067
CYRE3,0.10526315789473684,0.44110275689223055,0.3007804895126528,0.4298056165082892
GOAU4,0.08771929824561403,0.2882205513784461,0.20187298308474275,9.063605965414273e-05
CMIG4,0.07017543859649122,0.356516290726817,0.28979958707002407,0.08959425783200776
PETR3,0.07017543859649122,0.47431077694235585,0.30085117895461755,0.016651872207672124
BRAP4,0.05263157894736842,0.06954887218045112,0.24511756601239343,0.0008205992022728081
BBDC4,0.05263157894736842,0.5075187969924811,0.3283101517173187,0.04617416690370746
BBAS3,0.05263157894736842,0.06954887218045112,0.27992945035055566,0.07149696040408744
GGBR4,0.05263157894736842,0.10275689223057644,0.19125354907689407,1.0489875624267567e-05
SBSP3,0.05263157894736842,0.10275689223057644,0.2088662866265177,0.018181206761584585
VALE3,0.05263157894736842,0.43546365914786966,0.27027979318607376,0.005215518593983831
LREN3,0.05263157894736842,0.13533834586466165,0.24570132264290173,0.1596265029872207
USIM5,0.05263157894736842,0.3233082706766917,0.22222471561273638,0.00030170278505134716
TELB4,0.03508771929824561,0.03508771929824561,0.16629002357103884,0.008132254060398926
GRND3,0.03508771929824561,0.03508771929824561,0.19816812348444804,0.0621015422218214
GOAU3,0.03508771929824561,0.03508771929824561,0.18369569151394127,1.7914659268598756e-05
BRKM5,0.03508771929824561,0.03508771929824561,0.16980918297018485,3.087581751659764e-05
BBDC3,0.03508771929824561,0.03508771929824561,0.29769852767085414,0.005561294899412649
GGBR3,0.03508771929824561,0.03508771929824561,0.17892254872153,1.5374174607248359e-06
GUAR3,0.03508771929824561,0.03508771929824561,0.20209102129800896,0.05344644413716271
CSNA3,0.03508771929824561,0.3383458646616541,0.24356439726265153,0.0012829186342895285
ELET6,0.03508771929824561,0.03508771929824561,0.23351932889815757,0.02574832725219215
BRKM3,0.017543859649122806,0.0,0.1503048397305111,7.762856447458891e-06
BRAP3,0.017543859649122806,0.0,0.21493065021288135,0.00015467864441129367
EMBR3,0.017543859649122806,0.0,0.16717910110283155,3.06535519833804e-05
EMAE4,0.017543859649122806,0.0,0.19084503009396075,0.2380574991186944
ELET3,0.017543859649122806,0.0,0.21615649805381512,0.0029135782043045013
CTNM4,0.017543859649122806,0.0,0.16129420797113608,0.023566179210624323
CMIG3,0.017543859649122806,0.0,0.2502102358098483,0.016091554051029237
COCE5,0.017543859649122806,0.0,0.19533500206124232,0.01621181085742171
CPFE3,0.017543859649122806,0.0,0.20579830694139103,0.012436672433434779
CPLE3,0.017543859649122806,0.0,0.21486172690536343,0.00946379424858956
CCRO3,0.017543859649122806,0.0,0.2358480609421969,0.12941061355976402
CGAS5,0.017543859649122806,0.0,0.192275162735711,0.2304220934201635
BAZA3,0.017543859649122806,0.0,0.21131886569681022,0.027278786936660394
ALPA4,0.017543859649122806,0.0,0.1685144158148108,0.017333709950026466
BEES3,0.017543859649122806,0.0,0.2440271621178039,0.08731073957418377
BOBR4,0.017543859649122806,0.0,0.15069122729502638,7.027580866529894e-06
FESA4,0.017543859649122806,0.0,0.19667208413396034,0.00027128171763725914
ETER3,0.017543859649122806,0.0,0.19364222304429202,0.2232288581081038
PETR4,0.017543859649122806,0.0,0.28238734635219015,0.001190490307764094
MGEL4,0.017543859649122806,0.0,0.14686783407569573,6.170710233455139e-07
KEPL3,0.017543859649122806,0.0,0.21977069012867712,0.173264003254736
KLBN4,0.017543859649122806,0.0,0.16078319167652577,3.419854086216956e-06
ITSA3,0.017543859649122806,0.0,0.2590462144512294,0.06956865673864594
RENT3,0.017543859649122806,0.0,0.23708829145520055,0.12627480012370892
PSSA3,0.017543859649122806,0.0,0.2282835155444626,0.0018685906901078964
POMO4,0.017543859649122806,0.0,0.20287384357330548,0.17719136487064208
SCAR3,0.017543859649122806,0.0,0.2141144129922599,0.025825660290507247
SAPR4,0.017543859649122806,0.0,0.1724664295696209,0.006044772479747604
ROMI3,0.017543859649122806,0.0,0.1965480314930828,0.208271390717355
SHUL4,0.017543859649122806,0.0,0.1956366453784729,0.21291486818665217
TRPL4,0.017543859649122806,0.0,0.2007425087922314,0.01421165646860032
TELB3,0.017543859649122806,0.0,0.14732685083101893,0.0020712599553206054
USIM3,0.017543859649122806,0.0,0.2005663901938088,4.822990431822075e-05
UNIP6,0.017543859649122806,0.0,0.2294945124050617,0.0056612390090772435
