matrix_type,clique_size,nodes,sectors,subsectors,n_unique_sectors,same_sector_clique,same_subsector_clique,mean_internal_correlation,min_internal_correlation,max_internal_correlation
filtered,3,CMIG4|COCE5|CPLE6,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.5003187043127473,0.391560221952203,0.7151638118010195
filtered,3,CMIG4|COCE5|TRPL4,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.4079271044083261,0.2954002768631681,0.5341489571767908
filtered,3,CMIG4|CPFE3|CPLE6,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.6659740712767523,0.6372136840874894,0.7151638118010195
filtered,3,CMIG4|CPFE3|ELET3,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.6445662818495282,0.6071197411271945,0.681034386479642
filtered,3,CMIG4|CPFE3|SBSP3,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Water and Sanitation,1,True,False,0.6068148605821578,0.5557668982983783,0.6455447179417482
filtered,3,CMIG4|CPLE3|CPLE6,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.6654595962772475,0.637369585413905,0.7151638118010195
filtered,3,CMIG4|CPLE3|TRPL4,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.550596487214313,0.47379511284933,0.6438453916168181
filtered,3,CMIG4|CPLE6|ELET3,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.6893563771559746,0.6718709331872627,0.7151638118010195
filtered,3,CMIG4|CPLE6|ELET6,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.6934703343613947,0.6774475786975602,0.7151638118010195
filtered,3,CMIG4|CPLE6|ITSA4,Utilities|Utilities|Financials,Electric Utility|Electric Utility|Financial Services,2,False,False,0.6260108298673597,0.5804476240335218,0.7151638118010195
filtered,3,CMIG4|CPLE6|SAPR4,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Water and Sanitation,1,True,False,0.5732965903642095,0.4988637376240955,0.7151638118010195
filtered,3,CMIG4|CPLE6|SBSP3,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Water and Sanitation,1,True,False,0.6490181254272147,0.6127575989742775,0.7151638118010195
filtered,3,CMIG4|CPLE6|TRPL4,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.5926829149320142,0.5287359758182322,0.7151638118010195
filtered,3,CMIG4|ELET3|ELET6,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.6715046699677184,0.6456800108379084,0.6877996125856048
