source,target,weight,distance,correlation,same_sector,same_subsector,matrix_type
ALPA4,GUAR3,1.271030038174297,1.271030038174297,0.1922413210293226,1,0,group_mode
ALPA4,GRND3,1.2902552025036578,1.2902552025036578,0.1676207562061225,1,1,group_mode
ALPA4,LREN3,1.322642656543483,1.322642656543483,0.125308201545799,1,0,group_mode
ALPA4,ETER3,1.326948836477583,1.326948836477583,0.1196033926853944,0,0,group_mode
ALPA4,RENT3,1.3298958018800109,1.3298958018800109,0.1156885780709615,0,0,group_mode
ALPA4,CTNM4,1.3300225493505202,1.3300225493505202,0.1155200091095715,1,0,group_mode
ALPA4,RAPT4,1.3315804288394526,1.3315804288394526,0.1134467807658698,0,0,group_mode
ALPA4,POMO4,1.3393935712286011,1.3393935712286011,0.103012430675747,0,0,group_mode
ALPA4,BOBR4,1.3580128189174299,1.3580128189174299,0.0779005918279679,0,0,group_mode
ALPA4,CGAS5,1.3597986006202285,1.3597986006202285,0.0754738828756343,0,0,group_mode
ALPA4,MGEL4,1.3704146134459738,1.3704146134459738,0.0609818936268611,0,0,group_mode
ALPA4,EMBR3,1.380118189907462,1.380118189907462,0.0476368909432754,0,0,group_mode
BAZA3,BBDC4,1.3653912132699715,1.3653912132699715,0.0678534173625777,1,1,group_mode
BBAS3,BBDC4,1.288487833179257,1.288487833179257,0.1698995518745114,1,1,group_mode
BBDC3,BBDC4,1.272452188882908,1.272452188882908,0.1904327135035482,1,1,group_mode
BBDC4,ITSA4,1.2819162104729347,1.2819162104729347,0.1783454146633552,1,0,group_mode
BBDC4,ITSA3,1.323555909640493,1.323555909640493,0.1240998770278636,1,0,group_mode
BBDC4,PETR3,1.3404031318117113,1.3404031318117113,0.1016597221146781,0,0,group_mode
BBDC4,PETR4,1.3413889498452223,1.3413889498452223,0.100337842616566,0,0,group_mode
BBDC4,PSSA3,1.3508230015257414,1.3508230015257414,0.0876386092744933,1,0,group_mode
BBDC4,BEES3,1.3865317380157045,1.3865317380157045,0.0387648697375748,1,1,group_mode
BBDC4,SCAR3,1.3923576449061552,1.3923576449061552,0.0306700943356925,0,0,group_mode
BRAP3,VALE3,1.2476742996302588,1.2476742996302588,0.2216544210210716,1,1,group_mode
BRAP4,VALE3,1.2198472544977532,1.2198472544977532,0.2559863378471467,1,1,group_mode
BRAP4,GGBR4,1.2543831725645662,1.2543831725645662,0.213261428193427,1,0,group_mode
BRAP4,GGBR3,1.2622925301960481,1.2622925301960481,0.2033087841056294,1,0,group_mode
BRAP4,GOAU4,1.2671198398261674,1.2671198398261674,0.197203655759454,1,0,group_mode
BRAP4,CSNA3,1.267133361240277,1.267133361240277,0.1971865224159588,1,0,group_mode
BRAP4,USIM5,1.281392370847113,1.281392370847113,0.1790167959674071,1,0,group_mode
BRAP4,GOAU3,1.2836523453737676,1.2836523453737676,0.1761183281082129,1,0,group_mode
BRAP4,USIM3,1.2861089986112184,1.2861089986112184,0.1729618218456244,1,0,group_mode
BRAP4,KLBN4,1.345609976773866,1.345609976773866,0.0946668952033177,1,0,group_mode
BRKM3,SHUL4,1.3306391103522393,1.3306391103522393,0.1146997790005005,0,0,group_mode
BRKM3,BRKM5,1.3581969359273538,1.3581969359273538,0.0776505416187738,1,1,group_mode
CCRO3,GRND3,1.359631516800618,1.359631516800618,0.0757010692612257,0,0,group_mode
CMIG3,CMIG4,1.2608556951630474,1.2608556951630474,0.2051214579874543,1,1,group_mode
CMIG3,CPLE3,1.281596262723132,1.281596262723132,0.1787555096870502,1,1,group_mode
CMIG3,TRPL4,1.3215474473781292,1.3215474473781292,0.1267561721641754,1,1,group_mode
CMIG3,SAPR4,1.3216390732506516,1.3216390732506516,0.1266350800285795,1,0,group_mode
CMIG3,COCE5,1.3462731039917886,1.3462731039917886,0.0937743647341576,1,1,group_mode
CMIG4,CPLE6,1.2800524338964385,1.2800524338964385,0.1807328832379018,1,1,group_mode
CMIG4,ELET6,1.2830282269355247,1.2830282269355247,0.1769192844433421,1,1,group_mode
CMIG4,ELET3,1.285832032392385,1.285832032392385,0.1733179922368342,1,1,group_mode
CMIG4,CPFE3,1.2934814739083724,1.2934814739083724,0.1634528383279121,1,1,group_mode
CMIG4,SBSP3,1.328282983460775,1.328282983460775,0.1178321579242712,1,0,group_mode
CYRE3,GRND3,1.3495817553139675,1.3495817553139675,0.0893145428618351,0,0,group_mode
EMAE4,SHUL4,1.3384762391493694,1.3384762391493694,0.1042406786162799,0,0,group_mode
FESA4,GGBR4,1.3320524970497065,1.3320524970497065,0.1128180725518207,1,1,group_mode
FESA4,TELB4,1.3805717382987557,1.3805717382987557,0.0470108377053762,0,0,group_mode
GRND3,PSSA3,1.3629382556915803,1.3629382556915803,0.0711996555861961,0,0,group_mode
GUAR3,SHUL4,1.3146068618322473,1.3146068618322473,0.1359043994117852,0,0,group_mode
GUAR3,SAPR4,1.3567475441452754,1.3567475441452754,0.0796180507278818,0,0,group_mode
KEPL3,SHUL4,1.3773199233948865,1.3773199233948865,0.0514949143097519,1,1,group_mode
PETR3,VALE3,1.363317641105769,1.363317641105769,0.0706825047249008,0,0,group_mode
ROMI3,SHUL4,1.2974975596301446,1.2974975596301446,0.1582500413769098,1,1,group_mode
ROMI3,UNIP6,1.3634830713225883,1.3634830713225883,0.0704569571083609,0,0,group_mode
TELB3,TELB4,0.639559377133976,0.639559377133976,0.7954819015600003,1,1,group_mode
