panel,assets,observations,start_date,end_date,Q,lambda_plus,n_above_lambda_plus,lambda_1,market_mode_trace_share,lambda_2,lambda_3
full share-class panel,58,1527,2006-08-23,2024-08-15,26.32758620689655,1.4277673912580657,5,21.65046185200238,0.3732838250345238,3.0956503276115903,1.7838761140083939
issuer-collapsed panel,46,2207,2006-05-16,2024-08-15,47.97826086956522,1.3095833000778336,3,15.46978054478453,0.33629957706053326,2.3170331839548917,1.4488213378563644
