matrix_type,n_nodes,n_edges,expected_pmfg_edges,is_planar,mean_edge_correlation,median_edge_correlation,min_edge_correlation,max_edge_correlation,mean_edge_distance,median_edge_distance,same_sector_edges,same_sector_edge_ratio,same_subsector_edges,same_subsector_edge_ratio,average_clustering,density,top_degree_node,top_betweenness_node,top_closeness_node
original,58,168,168,True,0.5177462034369308,0.5222474390905172,0.1351087970603559,0.9755322818089285,0.9564690005888062,0.977498442566539,101,0.6011904761904762,59,0.35119047619047616,0.5273311518969501,0.10163339382940109,BBDC4,GGBR4,BBDC4
filtered,58,168,168,True,0.5212482765216789,0.5334065341872106,0.1105339672775405,0.836753405851173,0.9603249128076999,0.9660157043080667,95,0.5654761904761905,49,0.2916666666666667,0.5393347126397279,0.10163339382940109,CYRE3,CYRE3,BBDC3
group_mode,58,168,168,True,0.11087920977302079,0.1031029695130776,-0.0262505276451977,0.7954819015600003,1.3317408150243306,1.3393259709286773,91,0.5416666666666666,47,0.27976190476190477,0.6652691474813476,0.10163339382940109,GUAR3,GUAR3,GUAR3
