symbol,company_name,sector,subsector,segment,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,clustering_coefficient,avg_financial_volume,n_days,first_date,last_date,specification
PETR4,PETROBRAS,Oil Gas and Biofuels,Oil Gas and Biofuels,Exploration Refining and Distribution,4,0.07017543859649122,0.0,0.4272702966021078,0.053378390724364934,0.5484468152963408,0.0,,,,
SCAR3,SAO CARLOS,Real Estate,Real Estate,Commercial Properties,4,0.07017543859649122,0.0,0.38351446551033186,0.06772543303069276,0.659649313165085,0.0,,,,
POMO4,MARCOPOLO,Industrials,Transportation Equipment,Commercial Vehicles,4,0.07017543859649122,0.0,0.36501709506300456,0.1402805770315444,0.6254707489571086,0.0,,,,
GOAU3,METALURGICA GERDAU,Basic Materials,Steel and Metallurgy,Holdings,4,0.07017543859649122,0.0,0.37827871092961235,0.015216954260507802,0.42721036916446126,0.0,,,,
GGBR3,GERDAU,Basic Materials,Steel and Metallurgy,Steel,4,0.07017543859649122,0.0,0.38520513883968677,0.012997052386993606,0.39828143636214186,0.0,,,,
ETER3,ETERNIT,Industrials,Construction Materials,Construction Materials,4,0.07017543859649122,0.0,0.2849848576178025,0.13111677443820233,0.7101797635544361,0.0,,,,
TELB4,TELEBRAS,Telecommunications,Telecommunications,Telecommunications,4,0.07017543859649122,0.019423558897243107,0.3812451652516027,0.15579047770048843,0.6786435605297272,0.0,,,,
SHUL4,SCHULZ,Industrials,Machinery and Equipment,Industrial Machinery,4,0.07017543859649122,0.0,0.28677846644189087,0.13495579581507083,0.6994176294502606,0.0,,,,
EMAE4,EMAE,Utilities,Electric Utility,Generation,3,0.05263157894736842,0.0,0.2763437381794048,0.1204375804213966,0.8866074516319253,0.0,,,,
CTNM4,COTEMINAS,Consumer Cyclical,Textiles,Textiles,3,0.05263157894736842,0.0,0.28170953586318276,0.11442081332152644,0.8510708178142702,0.0,,,,
BEES3,BANESTES,Financials,Banks,Banks,3,0.05263157894736842,0.0,0.37007216371599394,0.05906849729327096,0.8292865580849496,0.0,,,,
BAZA3,BANCO DA AMAZONIA,Financials,Banks,Banks,3,0.05263157894736842,0.0,0.3719510128958218,0.05534593792753033,0.752277195284667,0.0,,,,
COCE5,COELCE,Utilities,Electric Utility,Distribution,3,0.05263157894736842,0.0,0.3103746764681509,0.026749945559624927,0.7835143387907664,0.0,,,,
BRKM3,BRASKEM,Basic Materials,Chemicals,Petrochemicals,3,0.05263157894736842,0.0,0.3269725429018577,0.022689652234908986,0.7619786226574116,0.0,,,,
MGEL4,MANGELS,Basic Materials,Steel and Metallurgy,Metallurgy,3,0.05263157894736842,0.0,0.3321918324399726,0.15210878031759106,0.9013398528977539,0.0,,,,
ITSA3,ITAUSA,Financials,Financial Services,Holdings,3,0.05263157894736842,0.0,0.39819617282765823,0.06235036360267265,0.6817252160073446,0.0,,,,
KEPL3,KEPLER WEBER,Industrials,Machinery and Equipment,Agricultural,3,0.05263157894736842,0.0,0.33042817681260633,0.15330908438695057,0.9113982290619213,0.0,,,,
KLBN4,KLABIN,Basic Materials,Paper and Cellulose,Paper and Cellulose,3,0.05263157894736842,0.0,0.33732808004869075,0.020265728766963895,0.7183665688076023,0.0,,,,
GRND3,GRENDENE,Consumer Cyclical,Apparel and Footwear,Footwear,3,0.05263157894736842,0.0,0.36094993858780444,0.12078025210585557,0.7414178226798755,0.0,,,,
PSSA3,PORTO SEGURO,Financials,Insurance,Insurance,3,0.05263157894736842,0.0,0.3927183376157463,0.0632567061240182,0.7087041809027049,0.0,,,,
SAPR4,SANEPAR,Utilities,Water and Sanitation,Water and Sanitation,3,0.05263157894736842,0.0,0.3897256622103533,0.049818861171059006,0.7309505315722946,0.0,,,,
TELB3,TELEBRAS,Telecommunications,Telecommunications,Telecommunications,3,0.05263157894736842,0.0,0.33672034815871804,0.12518984044607517,0.7865770840672267,0.0,,,,
