symbol,company_name,sector,subsector,segment,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,clustering_coefficient,avg_financial_volume,n_days,first_date,last_date,specification
BBDC4,BRADESCO,Financials,Banks,Banks,16,0.2807017543859649,0.3590225563909774,0.5974172688969925,0.36558891824192247,0.1586088454773463,0.0,,,,
CYRE3,CYRELA,Real Estate,Real Estate,Construction,16,0.2807017543859649,0.19987468671679198,0.4686312072222634,0.36511892070637314,0.1798675901880274,0.0,,,,
CMIG4,CEMIG,Utilities,Electric Utility,Generation and Distribution,15,0.2631578947368421,0.19548872180451127,0.4809724259514073,0.2413775158755425,0.17732572789070036,0.0,,,,
GGBR4,GERDAU,Basic Materials,Steel and Metallurgy,Steel,15,0.2631578947368421,0.3790726817042606,0.4918783906168194,0.0672088323355245,0.14228781036339788,0.0,,,,
GOAU4,METALURGICA GERDAU,Basic Materials,Steel and Metallurgy,Holdings,13,0.22807017543859648,0.10651629072681704,0.44380908416496473,0.02135780660069956,0.1616815628132173,0.0,,,,
ITSA4,ITAUSA,Financials,Financial Services,Holdings,13,0.22807017543859648,0.16541353383458646,0.5495054453898874,0.2787729590579667,0.19181521192316578,0.0,,,,
CPLE6,COPEL,Utilities,Electric Utility,Generation and Distribution,12,0.21052631578947367,0.11027568922305764,0.4541845804726297,0.20661623775053695,0.21481207688706447,0.0,,,,
LREN3,LOJAS RENNER,Consumer Cyclical,Retail,Apparel,9,0.15789473684210525,0.003132832080200501,0.4319700254599663,0.23139329073739412,0.3134173548947804,0.0,,,,
BBDC3,BRADESCO,Financials,Banks,Banks,9,0.15789473684210525,0.3558897243107769,0.5903822524200588,0.1462716211537425,0.23865757153745853,0.0,,,,
BBAS3,BANCO DO BRASIL,Financials,Banks,Banks,9,0.15789473684210525,0.011278195488721804,0.4939324256694862,0.20593864011859173,0.27181192221877865,0.0,,,,
RAPT4,RANDON,Industrials,Transportation Equipment,Auto Parts,9,0.15789473684210525,0.07393483709273183,0.42844328970928375,0.22237620511289222,0.3324868699678336,0.0,,,,
