network_type,matrix_type,n_nodes,n_edges,mean_edge_correlation,median_edge_correlation,min_edge_correlation,max_edge_correlation,mean_edge_distance,median_edge_distance,same_sector_edge_ratio,same_subsector_edge_ratio,average_clustering,density,top_degree_node,top_betweenness_node,top_closeness_node,n_triangles,n_4_cliques
MST,original,58,57,0.5795960980833309,0.5762506091908597,,,0.8762580495352831,0.9205969702417452,0.7192982456140351,0.4561403508771929,0.0,,RAPT4,ITSA4,,0,0
MST,filtered,58,57,0.5598649699587045,0.5589970351512736,,,0.918665276871736,0.9391517074985556,0.6491228070175439,0.3508771929824561,0.0,,GOAU4,BBDC4,,0,0
MST,group_mode,58,57,0.1388302371848055,0.1178321579242712,,,1.308699018232431,1.328282983460775,0.631578947368421,0.3508771929824561,0.0,,ALPA4,ALPA4,,0,0
PMFG,original,58,168,0.5177462034369308,0.5222474390905172,0.1351087970603559,0.9755322818089284,0.9564690005888062,0.977498442566539,0.6011904761904762,0.3511904761904761,0.5273311518969501,0.101633393829401,BBDC4,GGBR4,BBDC4,166,55
PMFG,filtered,58,168,0.5212482765216789,0.5334065341872106,0.1105339672775405,0.836753405851173,0.9603249128077,0.9660157043080668,0.5654761904761905,0.2916666666666667,0.5393347126397279,0.101633393829401,CYRE3,CYRE3,BBDC3,166,55
PMFG,group_mode,58,168,0.1108792097730207,0.1031029695130776,-0.0262505276451977,0.7954819015600003,1.3317408150243306,1.3393259709286771,0.5416666666666666,0.2797619047619047,0.6652691474813476,0.101633393829401,GUAR3,GUAR3,GUAR3,166,55
