date,BBDC4,PETR4,VALE3
1998-03-17,0.02257432203853918,0.0072464085207673,0.02613214027684796
1998-03-18,-0.008968669982760386,-0.00542987759436947,0.021590632592367487
1998-03-19,0.008968669982760386,0.0,
1998-03-20,0.05218575317057031,0.012624153228396495,0.02113431207397387
1998-03-23,0.020965128465044808,-0.0035906681307286137,0.0071983641002594245
1998-03-24,0.0,-0.010850016024065712,-0.018670765262496336
1998-03-25,-0.020965128465044808,-0.011090686694158247,0.0
1998-03-26,0.0,0.011053921312437376,
1998-03-27,0.0,0.007362805473793699,-0.01902600586776204
1998-03-30,-0.005097717071668784,-0.029631797606371135,-0.02019470728551931
1998-03-31,0.0008514261902175108,0.01862251209800181,0.003992021269537571
1998-04-01,0.0,-0.003696861881326119,-0.003992021269537571
1998-04-02,0.0,0.02559554718896373,-0.016129381929883557
1998-04-03,-0.012793351459909466,-0.02189868530763761,
1998-04-06,0.012793351459909466,0.025502292810936134,0.047628048989254546
1998-04-07,-0.02575249610241477,0.00716848947861265,-0.011696039763191224
1998-04-08,0.02150620522096354,0.02120220765060271,0.019418085857101586
1998-04-13,-0.008547060578458235,0.010400274617789529,0.011472401162236912
1998-04-14,-0.004301081899390741,0.020549372022532653,0.026267926820610188
1998-04-15,0.0,3.389887964516669e-05,0.0
1998-04-16,-0.013015368112070269,-0.01365208916832733,-0.0074349784875180625
1998-04-17,-0.01318700428195374,-0.0034423441909728902,-0.001867414174795523
1998-04-20,0.007933051740795838,-0.010398707220898473,-0.009389740349838971
1998-04-22,-0.02579066914080222,-0.017575144821507627,-0.011385322225125338
1998-04-23,0.0,0.0035044903917580417,-0.046883585898850555
1998-04-24,0.0,0.02101512678256051,0.0
1998-04-27,-0.06513930217096156,-0.03346017433264542,-0.04980282248381818
1998-04-28,-0.019418085857101697,0.029993966356159252,0.06187540371808753
1998-04-29,0.028987536873252506,-0.003478264376324758,0.0
1998-04-30,0.0,0.010398707220898473,0.0
1998-05-04,0.009569451016150615,-0.03509131981126984,0.019802627296179764
1998-05-05,-0.019231361927887575,0.0,0.0
1998-05-06,-0.029558802241544446,-0.025317807984289897,-0.019802627296179764
1998-05-07,-0.005012541823544436,-0.033522692038643664,-0.04040541463503877
1998-05-08,-0.00503779402995691,-0.0037950709685515838,0.038403411964365586
1998-05-11,-0.030771658666753854,-0.02307794728254481,-0.0040160696548897645
1998-05-12,-0.042559614418795855,-0.01964699738379644,-0.010111309604320606
1998-05-13,0.0,-0.0059701669865038776,-0.004073325387635829
1998-05-14,-0.016438726343159793,-0.0019980026626730263,-0.008196767204178501
1998-05-15,0.005509655810969627,0.01783991812833091,
1998-05-18,-0.01104983618658506,-0.06703016231910258,-0.07651669542786199
1998-05-19,0.027398974188114433,0.010449415874341006,0.021534561010508768
1998-05-20,0.005390848634876488,-0.014659948410684742,0.0
1998-05-21,0.010695289116747997,-0.008474626990972123,0.0
1998-05-22,0.021053409197832162,-0.008547060578458221,
1998-05-25,-0.021053409197832162,-0.034938051361280587,0.0
1998-05-26,-0.03243527575315386,-0.06899287148695143,-0.06744128079553258
1998-05-27,0.0,0.023530497410193973,-0.023530497410194084
1998-05-28,0.04301738508369074,0.0674412807955328,0.0
1998-05-29,-0.010582109330536882,-0.03540192705091605,0.014184634991956435
1998-06-01,-0.022100347000665932,0.013423020332140712,0.00934586241823765
1998-06-02,0.005571045049455325,0.06036314972709056,0.027524673390090237
1998-06-03,0.0,-0.008403410796379629,-0.05105517080028432
1998-06-04,-0.005571045049455325,0.01257878220686015,0.06899287148695143
1998-06-05,0.03297001923756976,0.012381366888405076,0.030636969461889763
1998-06-08,0.01608613775162443,0.008237920314330793,-0.01783043541467133
