eigen_rank,empirical_eigenvalue,surrogate_q95,surrogate_max,exceedances,monte_carlo_p,n_surrogates,null
1,21.65046185200238,1.6882348141211208,2.1788320146131896,0,0.000999000999000999,1000,independent circular shifts by asset
2,3.095650327611591,1.4931683902903021,1.719871308060529,0,0.000999000999000999,1000,independent circular shifts by asset
3,1.783876114008397,1.38893586645354,1.5738974942480635,0,0.000999000999000999,1000,independent circular shifts by asset
4,1.6543442182562553,1.3533024883112874,1.4053984188378303,0,0.000999000999000999,1000,independent circular shifts by asset
5,1.4835128614278628,1.329494484608397,1.3470633179211446,0,0.000999000999000999,1000,independent circular shifts by asset
